location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,2,366214.4263972135,402.72925,834142.9108599976,29.955496,1200357.337257211,432.68474599999996,2774.2076612453798,2.2777445418145454,0.0743812275865237
AUS,3,384068.9200200783,407.88110682178217,848044.44990105,31.617012872277225,1232113.3699211283,439.49811969405937,2803.4553840157932,2.20805278869406,0.07751526693314537
AUS,4,393119.32625314983,412.7410318217822,862602.156162359,32.59616737227723,1255721.482415509,445.33719919405945,2819.709390295774,2.194250189589725,0.07897486525243741
AUS,5,402169.73248622136,417.60095682178223,877841.3959634802,33.594328872277224,1280011.1284497017,451.19528569405946,2836.933738083502,2.182763457947586,0.08044600550715245
AUS,6,463933.5937243661,424.564,893458.9770816601,38.720093999999996,1357392.5708060262,463.28409400000004,2929.9356234881357,1.9258337597610686,0.09119966365494954
AUS,7,474185.49091230414,429.818975,909800.0033087911,39.7670525,1383985.4942210952,469.5860275,2947.245899945554,1.9186584590734546,0.09252046748285135
AUS,8,514595.4138202423,436.07394999999997,926919.6062947764,43.235389,1441515.0201150188,479.30933899999997,3007.483691268154,1.8012589723906218,0.09914691992034838
AUS,9,525448.0564856137,441.52645,960468.9737921322,44.330198,1485917.0302777458,485.856648,3058.3445475006565,1.8279047033042533,0.10040213445876232
AUS,10,571190.726617788,582.9206455599999,1009770.5371799944,47.8523675,1580961.2637977824,630.7730130599999,2506.3869744969566,1.7678342629250736,0.08209070628134849
AUS,11,736521.3492560786,1189.1274590799999,945319.6099022395,66.7060725,1681840.9591583181,1255.83353158,1339.222848304063,1.283492475618062,0.05609665472834084
AUS,12,828374.3148325958,1773.2103671600005,956595.7472611156,74.4744125,1784970.0620937115,1847.6847796600005,966.0576748498034,1.1547868278055335,0.04199976149433375
AUS,13,923170.7953388983,2433.9020674400012,968633.110993224,82.273001,1891803.9063321222,2516.1750684400013,751.8570269854149,1.0492458339062127,0.03380292169542196
AUT,0,68395.48577595303,31.8088,485528.90391959966,86.14749999999998,553924.3896955526,117.95629999999998,4696.013605848545,7.098844293760472,2.708291416211865
AUT,1,70720.3636738334,33.675041278,486727.0486668935,82.94668065374998,557447.4123407269,116.62172193174999,4779.96211260677,6.882417218776025,2.4631500810643185
AUT,2,73726.58987305463,36.088218946,488276.331806906,83.46802082624998,562002.9216799606,119.55623977224998,4700.741029916585,6.6227982692219936,2.3128883404067673
AUT,3,110631.78509829384,65.71300000000001,507295.7245445997,89.86812499999998,617927.5096428936,155.581125,3971.7382789390012,4.58544281911278,1.3675851810144106
AUT,4,110631.78509829384,65.71300000000001,507295.7245445997,89.86812499999998,617927.5096428936,155.581125,3971.7382789390012,4.58544281911278,1.3675851810144106
AUT,5,110631.78509829384,65.71300000000001,507295.7245445997,92.90812499999998,617927.5096428936,158.621125,3895.619260315381,4.58544281911278,1.4138469557013067
AUT,6,110631.78509829384,65.71300000000001,507369.1811139747,89.86812499999998,618000.9662122686,155.581125,3972.2104221335885,4.586106792574925,1.3675851810144106
AUT,7,110631.78509829384,65.71300000000001,507698.6023462347,91.86812499999998,618330.3874445285,157.581125,3923.8861091043013,4.5890844289925905,1.398020559097895
AUT,8,161699.50157829386,66.81300000000002,504662.1815177247,93.40812499999998,666361.6830960186,160.221125,4159.012633920893,3.1209878607657338,1.3980531483393945
AUT,9,223308.7357258764,98.135,520546.5115342347,100.76687499999998,743855.2472601112,198.901875,3739.81013130274,2.331062015295424,1.0268189229123144
AUT,10,227148.39930063466,101.21720000000002,522450.94044530974,101.43275,749599.3397459444,202.64995000000002,3698.9860582050196,2.3000423602097997,1.0021295787672448
AUT,11,255003.5173806347,101.81720000000001,520703.4057396777,101.27275,775706.9231203124,203.08995000000002,3819.523925828493,2.041945974268434,0.9946526716507622
AUT,12,255003.5173806347,101.81720000000001,530062.8612996778,104.87275,785066.3786803124,206.68995,3798.2803647700935,2.078649215290908,1.0300101554550702
AUT,13,255003.5173806347,101.81720000000001,530062.8612996778,103.87275,785066.3786803124,205.68995,3816.746412162152,2.078649215290908,1.0201886321760958
BRA,0,511124.81357508834,297.4459344725001,477157.40025169705,8.443818463750008,988282.2138267853,305.8897529362501,3230.8444605947666,0.9335437990462555,0.02838774205713902
BRA,1,737316.3834926252,376.51160198499997,477173.8413153705,14.1067912075,1214490.2248079958,390.6183931925,3109.147561849411,0.6471765065832737,0.037467082377084376
BRA,2,982550.5511896955,467.0911745525001,477192.7964718307,20.635720023750007,1459743.3476615262,487.7268945762501,2992.9523343792416,0.48566742534929563,0.044179211999713336
BRA,3,1076119.7115113467,538.327437018,494896.2767082098,30.300307141250006,1571015.9882195566,568.6277441592499,2762.8197961786013,0.4598896121075202,0.05628601675793252
BRA,4,1076119.7115113467,538.327437018,494896.2767082098,30.300307141250006,1571015.9882195566,568.6277441592499,2762.8197961786013,0.4598896121075202,0.05628601675793252
