location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Compressor,17742.03972,17742.03972,17742.03972,17742.039719999997,17742.039720000004,17742.039719999997,17742.039720000004,17742.039719999997,17742.03972,17742.039719999997,17742.03972,17742.039719999997,17742.03972,17742.03972,17742.03972
AUS,Copper_ore,5.064472345705924,4.975601869339286,4.88762550996106,4.805221709019831,4.729866052637789,4.3985788533438885,4.593728796891391,4.532090101295919,4.47516463991145,4.421154401244067,4.365331777991387,3.7004960315573534,3.623053805761736,3.5617545154899006,4.438152886439355
AUS,HP,36037.62956923077,36037.628026179635,36037.62656709945,36037.62514516789,36037.62376146526,36037.622416791026,36037.621111711116,36037.6198465527,36037.61862144614,37352.1464110948,39765.21447160858,36037.62601654791,36037.627477878945,36037.62893665803,36397.775598530876
AUS,Nickel,6.804321239999999,6.804321239999998,6.804321239999998,6.80432124,6.804321239999999,6.80432124,6.80432124,6.80432124,6.80432124,6.80432124,7.310988615536662,7.0290024008709615,7.624847653594579,8.202145905904176,7.015014069707598
AUS,Refrigerant,15112.78647278788,15112.713389810195,15112.638894601056,15112.57060732601,15112.507783032968,15112.44979137786,15112.396095400898,15112.346234850866,15112.299812959456,15112.25648586081,15112.215954058847,15111.538493940345,15111.471182197802,15111.418828620268,15112.25785905895
AUT,Compressor,14466.58812,14466.588120000002,14466.588119999999,14466.588120000002,14466.588120000002,14466.588120000002,14466.588120000002,14466.588120000002,14466.588120000002,13334.997599999999,13334.9976,13334.9976,13334.9976,13334.9976,14062.44864857143
AUT,Copper_ore,11.0069,13.075080934054872,10.985654458345103,3.7091491154170173,3.7091491154170173,3.7091491154170173,3.7091491154170173,2.7742659105229994,2.7742659105229994,1.8306694386694387,1.7704519864886603,1.92529298583173,1.7704519864886603,1.92529298583173,4.619637361316018
AUT,HP,,,,,,,,,,,,,3599.923253846154,3599.923253846154,3599.923253846154
AUT,Nickel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33972739999999996,0.33972739999999996,0.7317205538461538,0.7317205538461538,0.7317205538461538,0.20532974725274725
AUT,Refrigerant,4240.5036439560445,4239.264704738078,4238.075465436904,4233.592971721612,4233.592971721612,4233.592971721612,4319.695910183151,4705.830687923811,4905.1958917216125,4904.190703032968,4904.132711377853,4904.132711377853,4904.132711377853,4904.132711377853,4562.147626262058
AUT,Bauxite,28.17971064696893,28.17971064696893,28.17971064696893,28.17971064696893,28.17971064696893,28.17971064696893,28.17971064696893,28.17971064696893,28.17971064696893,28.17971064696893,28.187207743250127,28.187207743250127,28.187207743250127,28.187207743250127,28.181852674477852
AUT,HEX,,7798254.315842225,3402438.2063460974,432005.9129709091,432005.9129709091,432005.9129709091,432005.9129709091,432005.9129709091,,946915.00388,789581.6705466667,,,,1677468.751274393
AUT,Iron,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.64371259918
