commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.3412302479442315,0.34125916132249745,0.3488660952839785,0.3562426463723528,0.36734345572971744,0.38057154824396316,0.38615258373708344,0.4029380915434419,0.4120039625113591,0.42513411363929554,0.4353287402852949,0.45050141259879645,0.4590851606444741,0.46876729145949897,0.3982446079511418
Bauxite,0.13187149101010487,0.12176645391138079,0.11218739491771523,0.10312742637666814,0.09457896137902959,0.08653354354850679,0.07898171031612712,0.07191287267474306,0.06531523605192044,0.059175744371372144,0.08288248522759474,0.1485888190838309,0.2091616134683075,0.26482274671696926,0.11649332136101932
Compressor,0.10823517811845208,0.11399435523565744,0.11772096164048322,0.10925934039594032,0.10182450840560098,0.09794204199032742,0.0941348480446405,0.09021869023819934,0.09555024987977805,0.09672402926740316,0.08600383543922441,0.08539114290113002,0.082112635786822,0.09047900908964988,0.09782791617380779
Copper,0.001854526271802553,0.001757629474802354,0.0016609309606874084,0.001564790542459826,0.0014695854372757098,0.0013663423000710197,0.001228507635551617,0.001103161356385249,0.0009892441100427442,0.000885802713417128,0.0007919738313077768,0.0007069705671589434,0.0006300716983352598,0.0005606129084602432,0.0011835821291255595
Copper_ore,0.0008409077808096073,0.0007968855433998454,0.0007519390598692677,0.0007096615353211758,0.0006659479116610569,0.000618025161733916,0.0005446683503021149,0.0004916546096388562,0.0005066440163225837,0.0005178390310100921,0.0005271996766906016,0.00048121389324353304,0.000465890628891558,0.0004454267706417495,0.0005974217121097113
HEX,1.8639482173291264,1.6988666436318132,1.6657678898505381,1.5683100230305635,1.4848353031097592,1.3652530235236329,1.19512668916619,1.0459897587261628,0.8680774565906375,0.8276279722033681,0.7799885641600103,0.6815445790915329,0.6415884700870127,0.5996747002587164,1.1633285207685045
HP,0.11422312249793962,0.13194769949558846,0.17042517437562096,0.1671785139227168,0.1902160983111732,0.21831147526558625,0.24528623633347438,0.27051008847130215,0.27804168417038005,0.30088085327001324,0.32629588765891476,0.19238194336767647,0.22147776191288246,0.18558242068655081,0.21519706855284423
Iron,0.3949001282318182,0.37042475478971587,0.3482590405333376,0.3252664170038372,0.30381558057977237,0.2833988151087812,0.26439598846630735,0.24653526885047916,0.23141514519965947,0.22169656884886582,0.2043353521131168,0.19252713761986043,0.1845558470171587,0.17583086859752334,0.267668350925731
Nickel,0.0003353927273347836,0.00028482983632001764,0.0002449499746068832,0.0002121824345964713,0.00019229071806381302,0.00019043325867411587,0.00023869204299357773,0.00029456290699789986,0.00030385007883396484,0.0002982817666433229,0.00029530361428715105,0.00030974753724224627,0.00031367465061541317,0.00031695608604565727,0.0002736534023753798
Steel,0.020699419385631856,0.01914595759273666,0.01767165941806369,0.01625546063911515,0.014901805264694548,0.013628069434162992,0.012433339530571005,0.011316276512996078,0.010274219028958363,0.009299913690094832,0.008400339520510747,0.007558888084050089,0.006790497228316557,0.006083795760029972,0.01246140293499518
