location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Aluminium,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.4680000000003
AUS,Bauxite,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.660000000000004,30.660000000000007,30.660000000000004,30.660000000000004,30.660000000000007
AUS,Compressor,28076.475237194136,30998.047313305782,31193.521977663524,31858.896320468753,32207.693713689594,32545.39348754734,33802.801309168724,34485.21272422194,35157.24121498217,36285.54651256,37605.05113896149,27096.1200795,27558.410548107182,28031.48688660444,31921.56417599822
AUS,Copper_ore,3061.8577123457057,3061.7688418693397,3061.680865509961,3061.5984617090194,3061.523106052638,2874.535852456109,3061.3869687968913,3061.325330101296,3061.2684046399113,3061.214394401244,2869.724480959637,2965.320456406111,2976.4557859298116,2985.2699411239987,3016.066471592977
AUS,HEX,30158.02572,36158.02572,30158.02572,35478.88600970307,30158.02572,30158.02572,50654.843858613865,30158.025719999998,40158.02572,30158.02572,38729.45429142857,30158.02572,37658.02572,36824.69238666667,34769.15241045801
AUS,HP,39547.20172884402,39690.64827005707,39616.56268392246,39553.30147590548,39519.181631815605,39512.0370332871,39529.871383771824,39570.849355170714,39633.27179276868,40915.63086445816,42989.6645790359,36712.878835180345,26535.43807901748,25459.041827269975,37770.398538607486
AUS,Iron,35.170891919999995,35.170891919999995,35.170891919999995,35.17089192,35.170891919999995,35.170891919999995,35.170891919999995,35.17089192,35.17089192,35.17089191999999,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995
AUS,Nickel,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.405020620001,3959.405020620001,3959.405020620001,3959.405020620001,3959.405020620001,3959.4050206200013,3959.4050206200013,3963.756590888989,3952.382170435083,3991.800613335366,4038.8652602705747,3967.2039172235736
AUS,Refrigerant,15112.78647278788,15112.713389810195,15112.638894601056,15112.57060732601,15112.507783032968,15112.44979137786,15112.396095400898,15112.346234850866,15112.299812959456,15112.25648586081,15112.215954058847,15111.538493940345,15111.471182197802,15111.418828620268,15112.25785905895
AUS,Steel,495.59999592000014,495.5999959200001,495.5999959200001,495.5999959200002,495.59999592,495.5999959200001,495.5999959200001,495.59999592000014,495.59999592,495.5999959200001,495.5999959200001,495.59999591999997,495.59999592,495.59999592000014,495.59999591999997
AUT,Aluminium,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999997
AUT,Bauxite,58.779815610728335,58.779815610728335,58.779815610728335,58.779815610728335,58.779815610728335,58.779815610728335,58.779815610728335,58.779815610728335,58.779815610728335,58.779815610728335,58.78730507443555,58.78730507443555,58.78730507443555,58.78730507443555,58.78195545750183
AUT,Compressor,42754.33632,42754.336319999995,42754.336319999995,42754.33632,42754.33632,42754.33632,42754.33632,42754.33632,42754.33632,13334.997599999999,13334.9976,13334.9976,13334.9976,13334.9976,32247.429634285716
AUT,Copper,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997
AUT,Copper_ore,1673.0415259504132,1334.9744842523523,1670.3376647562943,630.458842588884,630.458842588884,2524.8053191467716,2524.8053191467716,2909.647588584357,2909.647588584357,2956.6898504925966,2959.7502124198445,2693.9881788011903,2959.7502124198445,3027.7155498304064,2243.2907985402117
AUT,HEX,46425.19680000001,170532.90226123473,254254.15137574836,258082.1446808889,258082.1446808889,258082.1446808889,258082.1446808889,258082.1446808889,102891.86346654652,81579.12740797379,71743.16572544379,64194.42756919297,46425.19680000001,46425.19680000001,155348.71082932744
AUT,HP,32034.006,32034.006,32034.006000000005,32034.005999999998,32034.005999999998,32034.005999999998,32034.005999999998,32034.005999999998,32034.005999999998,89154.00600000001,37526.313692307696,32034.006,16107.614563461539,16107.614563461539,34231.11491565934
