,technology,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_storage,100.0,100.0,100.0,100.0,100.0,100.0
1,Bauxite_storage,100.0,100.0,100.0,100.0,100.0,100.0
2,Compressor_storage,inf,inf,inf,inf,inf,inf
3,Copper_storage,100.0,100.0,100.0,100.0,100.0,100.0
4,HEX_storage,inf,inf,inf,inf,inf,inf
5,HP_storage,inf,inf,inf,inf,inf,inf
6,Iron_storage,100.0,100.0,100.0,100.0,100.0,100.0
7,Nickel_storage,100.0,100.0,100.0,100.0,100.0,100.0
8,Steel_storage,100.0,100.0,100.0,100.0,100.0,100.0
