,on_off_technologies,on_off_capacity_types,on_off_locations,on_off_time_steps_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,power,AUS,0,1.0,1.0,1.0,1.0,1.0,1.0
1,Aluminium_production,power,AUS,1,1.0,1.0,1.0,1.0,1.0,1.0
2,Aluminium_production,power,AUS,2,1.0,1.0,1.0,1.0,1.0,1.0
3,Aluminium_production,power,AUS,3,1.0,1.0,1.0,1.0,1.0,1.0
4,Aluminium_production,power,AUS,4,1.0,1.0,1.0,1.0,1.0,1.0
5,Aluminium_production,power,AUS,5,1.0,1.0,1.0,1.0,1.0,1.0
6,Aluminium_production,power,AUS,6,1.0,1.0,1.0,1.0,1.0,1.0
7,Aluminium_production,power,AUS,7,1.0,1.0,1.0,1.0,1.0,1.0
8,Aluminium_production,power,AUS,8,1.0,1.0,1.0,1.0,1.0,1.0
9,Aluminium_production,power,AUS,9,1.0,1.0,1.0,1.0,1.0,1.0
10,Aluminium_production,power,AUS,10,1.0,1.0,1.0,1.0,1.0,1.0
11,Aluminium_production,power,AUS,11,1.0,1.0,1.0,1.0,1.0,1.0
12,Aluminium_production,power,AUS,12,1.0,1.0,1.0,1.0,1.0,1.0
13,Aluminium_production,power,AUS,13,1.0,1.0,1.0,1.0,1.0,1.0
14,Aluminium_production,power,AUT,0,1.0,1.0,1.0,1.0,1.0,1.0
15,Aluminium_production,power,AUT,1,1.0,1.0,1.0,1.0,1.0,1.0
16,Aluminium_production,power,AUT,2,1.0,1.0,1.0,1.0,1.0,1.0
17,Aluminium_production,power,AUT,3,1.0,1.0,1.0,1.0,1.0,1.0
18,Aluminium_production,power,AUT,4,1.0,1.0,1.0,1.0,1.0,1.0
19,Aluminium_production,power,AUT,5,1.0,1.0,1.0,1.0,1.0,1.0
20,Aluminium_production,power,AUT,6,1.0,1.0,1.0,1.0,1.0,1.0
21,Aluminium_production,power,AUT,7,1.0,1.0,1.0,1.0,1.0,1.0
22,Aluminium_production,power,AUT,8,1.0,1.0,1.0,1.0,1.0,1.0
23,Aluminium_production,power,AUT,9,1.0,1.0,1.0,1.0,1.0,1.0
24,Aluminium_production,power,AUT,10,1.0,1.0,1.0,1.0,1.0,1.0
25,Aluminium_production,power,AUT,11,1.0,1.0,1.0,1.0,1.0,1.0
26,Aluminium_production,power,AUT,12,1.0,1.0,1.0,1.0,1.0,1.0
27,Aluminium_production,power,AUT,13,1.0,1.0,1.0,1.0,1.0,1.0
28,Aluminium_production,power,BRA,0,1.0,1.0,1.0,1.0,1.0,1.0
29,Aluminium_production,power,BRA,1,1.0,1.0,1.0,1.0,1.0,1.0
30,Aluminium_production,power,BRA,2,1.0,1.0,1.0,1.0,1.0,1.0
31,Aluminium_production,power,BRA,3,1.0,1.0,1.0,1.0,1.0,1.0
32,Aluminium_production,power,BRA,4,1.0,1.0,1.0,1.0,1.0,1.0
33,Aluminium_production,power,BRA,5,1.0,1.0,1.0,1.0,1.0,1.0
34,Aluminium_production,power,BRA,6,1.0,1.0,1.0,1.0,1.0,1.0
35,Aluminium_production,power,BRA,7,1.0,1.0,1.0,1.0,1.0,1.0
36,Aluminium_production,power,BRA,8,1.0,1.0,1.0,1.0,1.0,1.0
37,Aluminium_production,power,BRA,9,1.0,1.0,1.0,1.0,1.0,1.0
38,Aluminium_production,power,BRA,10,1.0,1.0,1.0,1.0,1.0,1.0
39,Aluminium_production,power,BRA,11,1.0,1.0,1.0,1.0,1.0,1.0
40,Aluminium_production,power,BRA,12,1.0,1.0,1.0,1.0,1.0,1.0
41,Aluminium_production,power,BRA,13,1.0,1.0,1.0,1.0,1.0,1.0
42,Aluminium_production,power,CHN,0,1.0,1.0,1.0,1.0,1.0,1.0
43,Aluminium_production,power,CHN,1,1.0,1.0,1.0,1.0,1.0,1.0
44,Aluminium_production,power,CHN,2,1.0,1.0,1.0,1.0,1.0,1.0
