location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Compressor,20471.58564,20471.58564,20471.58564,20471.585639999998,20471.58564,20471.585640000005,20471.58564,20471.585639999998,20471.58564,20471.58564,20471.58564,20471.58564,20471.585639999998,20471.58564,20471.58564
AUS,Copper_ore,5.604419024187333,5.515591396337788,5.427657454382001,5.345293384078184,5.269974060101035,5.200832725449035,5.133902442345657,5.072293465581565,4.705692028122761,4.649881802646259,4.596905071331934,3.9075459888418353,3.827247205259875,3.763686810492083,4.858637347082668
AUS,HP,36037.62956923077,36037.628026179635,36037.62656709945,36037.62514516789,36037.62376146526,36037.622416791026,36059.86412119204,36037.6198465527,36037.61862144614,37678.21147732901,41438.59066120324,47776.079579856836,48236.998763062344,44098.70373418374,38827.817306482866
AUS,Nickel,6.526904152592592,6.526904152592592,8.78382254962963,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.80432124,6.80432124,6.80432124,7.31631821142857,7.0290024008709615,7.482443031397203,7.957679046778666,7.089523016092158
AUS,Refrigerant,15112.78647278788,15112.713389810195,15112.638894601056,15112.57060732601,15112.507783032968,15112.44979137786,15112.396095400898,15112.346234850866,15112.299812959456,15112.25648586081,15112.215954058847,15111.538493940345,15111.471182197802,15111.418828620268,15112.25785905895
AUT,Compressor,3383.99676,3383.99676,3383.99676,3383.99676,3383.9967599999995,3383.99676,3383.9967600000004,3383.9967600000004,3383.99676,3383.9967600000004,3383.99676,3383.99676,3383.99676,3383.99676,3383.996760000001
AUT,Copper_ore,11.0069,11.0069,11.0069,11.0069,11.0069,11.0069,11.0069,11.0069,22.0138,10.663845064036023,6.903529022708784,10.057589796271838,6.903529022708784,10.057589796271838,11.046791621571233
AUT,HP,,3605.4868129845286,3602.274700746887,,,,,,,,,56326.86484686858,56326.28672324283,56326.09558904091,35237.40173457675
AUT,Nickel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12489699269035909,0.12489699269035909,0.12489699269035909,0.12489699269035909,0.03568485505438831
AUT,Refrigerant,4240.65609539473,4240.5036439560445,4240.5036439560445,4236.706056093161,4236.190283563149,4235.44776241332,4234.813130489623,4234.270710549413,4233.592971721612,4233.410857187813,4233.072186325514,4233.072186325514,4233.072186325514,4233.072186325514,4235.598850044785
AUT,Bauxite,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170656
AUT,HEX,,,,1751063.1520281488,1400928.1665293535,1022313.8177490076,777026.8663242583,606970.6230690043,,,,,,,1111660.5251399544
AUT,Iron,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.6437125991806,2598.64371259918
BRA,Copper_ore,14.4323272,14.4323272,6.203465156905063,5.570347384629335,5.570347384629335,5.233968296713476,4.41845422605947,4.358227453925957,4.358227453925957,4.358227453925957,4.060776680729861,4.358227453925957,4.209663614536173,4.209663614536173,6.126732183888765
BRA,Refrigerant,,,16725.332499988373,16724.72472879121,16724.72472879121,16724.72472879121,16724.72472879121,16724.72472879121,16724.72472879121,16724.72472879121,16723.40946528616,16724.72472879121,16724.096485860806,16724.096485860806,16724.56106394382
BRA,HEX,,,,,,,,,,,135911.48864707194,,,,135911.48864707194
CHN,Copper_ore,2.5037269556618758,2.498693257698108,2.4934732627966025,2.4996092419471427,2.5140840187260065,2.533359405630427,2.562868882568287,2.6126777889540604,2.5579944753634223,2.527002554253934,2.448591390794389,2.3809012772896803,2.345871695008793,2.3417527281740047,2.4871862096333386
CHN,Nickel,4.74296662487395,4.862620000209423,4.909291464000001,4.999705459539557,5.015170060662402,5.023458879495218,5.220182206598144,6.119165099172252,6.263654727418513,6.238300471039514,6.212502398327336,6.145760475946059,6.123882317746479,6.21902184,5.578263001787775
CHN,Bauxite,,,,,,,,,,,22.74756425457321,22.783499820604963,22.788216017713456,22.790067156127805,22.77733681225486
CHN,HEX,,,,173039.60516624962,93742.14951372199,57111.55226335362,43393.78745603203,37250.619587428475,35214.26460802868,33594.32903341772,32131.228296490255,37298.556882139186,36282.61406347491,40776.12408462312,56348.62099590542
CZE,Compressor,,,,,15012.493800000002,14201.425349230385,21764.10497825345,20933.635124258737,33842.84964,33842.84964,,,,,23266.226421957097
CZE,Copper_ore,22.0138,22.0138,22.0138,22.0138,22.0138,22.0138,22.0138,22.0138,4.179263439418436,1.951632082005834,1.2282257754327146,0.9929157805829169,1.0398158889246925,0.9929157805829169,13.32108348192482
CZE,HP,36073.95388571428,36073.95388571428,36073.95388571428,36073.95388571428,35738.640667629865,31855.043964379398,26878.702349906693,26427.63070242862,25885.087209191617,26427.630270259382,26427.627249812824,33306.04747891562,32717.33901243605,32144.831085136353,31578.885395210968
CZE,Nickel,0.89352876,0.89352876,0.7854256808304155,0.8935287599999999,0.8935287599999999,0.8935287599999999,0.7772859902821317,0.7772859902821317,0.89352876,0.8935287599999999,0.89352876,0.89352876,0.8935287599999999,0.8935287600000001,0.8692010015281915
CZE,Refrigerant,1413.3755660659342,1413.3755660659342,1413.3755660659342,1413.3755660659342,1412.7159109890108,1412.7159109890108,1412.7159109890108,1412.7159109890108,10042.319489230767,11083.19497980115,11083.113389810189,11082.658988309906,11082.658988309906,11082.658988309906,5482.926480856543
CZE,Bauxite,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674799999999995,3.2674799999999995,3.2674799999999995,3.2674799999999995,3.26748
CZE,HEX,136213.68196303796,136213.68196303796,136213.68196303796,128552.15457687205,118458.77255450646,115773.63058002245,112806.13679883606,109551.70429007646,134716.84652000002,213550.17985333336,2381466.8465199997,134893.39089102118,134893.39089102118,174447.52611748,297696.54467730585
CZE,Iron,60.79966265090162,57.403520971933474,57.403520971933474,57.403520971933474,51.024797419133264,51.024797419133264,51.024797419133264,51.024797419133264,45.357892114359124,44.1453866121123,28.60145349001403,25.459324989804973,25.459324989804973,25.459324989804973,45.11372303065252
CZE,Aluminium,106.28675266865783,110.12656048084148,227.76643089690396,292.2804423095398,345.38204431211136,427.64033365577797,488.40153464001554,558.8151751661378,789.3213469937991,804.5725721820921,821.7754263933941,834.5790037813263,842.0864472864502,849.5205696872781,535.6110457467375
CZE,Copper,27.56505458249517,27.543978086797537,27.543978086797537,27.543978086797537,27.423028798529348,27.423028798529348,27.423028798529348,27.423028798529348,28.056849290805445,29.693521148814494,30.811187491567505,30.811187491567505,30.811187491567505,30.811187491567505,28.6345874602068
DEU,Compressor,,17196.12528,17196.12528,17196.125280000004,17196.125280000004,17196.125280000004,17196.125280000004,,,36811.52604,35924.489357572915,31914.712213731797,31914.712213731797,31914.712213731797,24696.082156251665
DEU,HP,39238.37456805085,39238.76800014367,,,,,39238.76676918334,31993.40218671182,30271.94977525295,30272.089241181737,30271.788101678467,39238.29184571428,36646.23299676495,34732.5598556896,35114.222334037164
DEU,Nickel,0.29318989999999984,0.29318989999999984,0.29318989999999984,0.29318989999999984,0.29318989999999984,0.29318989999999984,0.29318989999999984,0.29318989999999984,1.2207361290909091,1.2207361290909091,1.2207361290909091,1.2207361290909091,1.2207361290909091,2.9336320227809067,0.8130594191596751
DEU,Refrigerant,,,,,,,,,,,12504.98071222703,12504.98071222703,12504.98071222703,12504.98071222703,12504.98071222703
DEU,Bauxite,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702592,6.389800545702593
DEU,HEX,,,271572.7916630696,221020.63327111112,221020.63327111112,221020.63327111112,221020.63327111112,221020.63327111112,1624488.0115439142,294133.3402330102,240352.89565397584,240352.89565397584,240352.89565397584,240352.89565397584,354725.7410342877
DEU,Iron,,101.19286233821217,51.09940094390504,47.186580342616296,47.186580342616296,47.186580342616296,47.186580342616296,34.379720122189696,29.119216128604922,27.185622026105793,26.711067140619818,26.711067140619818,26.711067140619818,26.711067140619818,41.42826242245863
ITA,Compressor,10716.002880000004,20702.532185993015,21711.412067323945,24292.94292,24292.942919999998,24292.942919999998,24292.942919999998,24292.942919999998,10716.002879999998,10716.00288,10716.002879999998,,,,18794.78821575608
ITA,Copper_ore,4.3600263897785165,3.161594309293162,2.8687123458945765,2.8927041189541964,2.344135871359569,2.344135871359569,2.344135871359569,2.1109071378683177,1.7176200099010246,1.660547559013746,1.6155706075688878,1.5925202161507204,1.5925202161507204,1.5925202161507204,2.299832195771664
ITA,HP,25832.446131847966,25934.539733091566,31317.278481312835,34532.797943227175,30486.010808158757,28556.100948209063,33148.62202789655,35239.095262163784,35601.61531415721,37852.54427188052,41920.26714732956,38876.173623687886,39644.559275989835,40230.457845901685,34226.607772489595
ITA,Nickel,1.4871589200000002,1.8039979045973906,1.9556657323076923,1.9556657323076923,1.9556657323076923,1.9556657323076923,1.9556657323076923,2.0232361431161308,2.4470135796825394,2.46762680119403,2.481540725714286,2.481540725714286,2.481540725714286,2.481540725714286,2.138108922356121
ITA,Refrigerant,6718.909081859053,6717.715539054539,6717.452711377851,6717.345738815712,6822.924318874725,6906.873588874725,7048.873809575156,11165.455333554904,15604.103046600387,15604.067325609318,15604.043213940346,15604.043213940346,15604.043213940346,15604.043213940346,10888.563810711266
ITA,HEX,,,,2199694.7063033534,344387.44926285715,344387.44926285715,344387.44926285715,407202.0590145096,,,,,,,728011.8226212868
ITA,Iron,80.00056087453983,58.52359026450573,52.750510679252905,50.266997327090984,40.19552141993022,40.19552141993022,40.19552141993022,32.74416223147866,26.003163104028353,24.610661366279775,23.459812100560434,22.726962608544824,22.726962608544824,22.726962608544824,38.36620785951156
ITA,Aluminium,325.87199999999996,325.87199999999996,325.872,325.872,325.872,325.872,325.872,325.872,325.87199999999996,325.87199999999996,325.87199999999996,325.87199999999996,325.87199999999996,325.87199999999996,325.87199999999996
JPN,Copper_ore,3.6322306467284897,3.5837848356565463,3.539853060024996,3.4698849951307107,3.4336851849436347,3.3999435966026073,3.3684919366255284,3.3391735870858175,3.164730513925116,3.085912263126953,2.9984725112878126,3.0391337345737623,3.0180913644161995,2.9984725112878126,3.2908471958154273
JPN,Nickel,7.071257683802191,7.317762536317184,5.870365080000001,,,,,,,,,,,,6.753128433373125
JPN,Bauxite,19.929,19.929,19.929,19.929,19.929,19.929,19.929,19.929,19.929,19.929,25.6590705882353,25.6590705882353,25.6590705882353,25.6590705882353,21.566163025210084
JPN,HEX,,,,,,,,,,,626048.9994166894,,,,626048.9994166894
JPN,Iron,29.035560461137557,28.054188546427945,27.13889484905284,26.28522826442553,25.489040438095792,24.746458522356793,24.053872381522577,23.40791460333298,22.8054455459138,22.243536428133222,20.3495608219512,21.23065655990465,20.774763516143747,20.3495608219512,23.99747726859642
JPN,Aluminium,1388.46,1388.46,1388.46,1388.46,1388.46,1388.46,1379.415148278382,1054.7039999999997,1054.704,1054.7040000000002,1054.704,1054.704,1054.7039999999997,1054.704,1220.9359391627415
KOR,Copper_ore,3.0312915645859633,2.976509788409861,2.9392929598416857,2.869933900836563,2.8380776415282662,2.814255248139851,2.8055183439655798,2.7950584324162415,2.7896989455972627,2.6163815531587917,2.5796868022857895,2.6143168790566786,2.606002607402366,2.5796868022857895,2.7754079621079066
KOR,Nickel,4.696297319999998,4.69629732,4.69629732,5.14280328,5.14280328,4.69629732,4.69629732,4.69629732,4.69629732,4.69629732,4.69629732,4.69629732,4.69629732,6.57226884,4.894081851428571
KOR,Refrigerant,10682.858430743723,10681.643090396781,10680.91360007583,10679.605534317396,10679.605534317396,10679.605534317396,10679.605534317396,10679.466264005536,10679.33745171725,10678.851461636712,10678.789626999675,10679.06603242526,10678.977016015177,10678.789626999675,10679.793909877513
KOR,HEX,145189.33710093028,147655.63480666254,137231.9671532693,103875.53967877133,103877.14966511945,103878.75965146758,103880.3696378157,98204.59555813033,92375.07812433277,63116.35027074036,58242.65167641791,77771.21779171533,72088.45020342495,58270.11035402985,97546.94369091628
KOR,Iron,20.16747161446794,19.057399691770833,18.344220133975735,17.186899351791723,16.509466220957233,16.024849978580036,16.024849978580036,15.970021863975301,15.906010338497877,15.387558444908377,15.245402028829634,15.699222615015884,15.594460221547587,15.245402028829634,16.597373893694844
KOR,Aluminium,1162.452,1162.452,1162.452,1162.452,1162.452,1162.452,1162.452,860.2320000000001,860.2320000000001,860.2320000000001,860.2320000000001,860.2320000000001,860.2320000000001,860.2320000000001,1011.342
