commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.35733278401460356,0.3600152163764106,0.3723636549601011,0.38592185724417544,0.4004982216566645,0.41541056804578586,0.42691465361294895,0.425414379143364,0.43005487994421726,0.4460456378850881,0.4577512690431493,0.4720045041978804,0.48131629619874855,0.4917488796694795,0.42305662871375854
Bauxite,0.07612866190093913,0.07029508144399059,0.06476514515622969,0.05953487683506793,0.054599896600959784,0.049955322635956805,0.045595692252797984,0.0415148924778692,0.03770611437157153,0.03416182073530503,0.05590568105365508,0.12362179938130924,0.18604735672484343,0.24341101809673674,0.08166023997623087
Compressor,0.15499166143608084,0.16282051497120897,0.1668904005346772,0.1650585958458352,0.1758600140712644,0.1831830967012643,0.1998719876009719,0.16762342012835674,0.1615174330140844,0.170224148811642,0.16230374336560305,0.10566797758823229,0.09528560902861055,0.0838044567799498,0.15393593284841298
Copper,0.0186565434427134,0.01398702958056741,0.008996228867859654,0.007785068696340695,0.006972716116651725,0.0065485739213805,0.006129485816691033,0.003816655019261638,0.002188146578281549,0.0014906102691565322,0.0012085713276431245,0.0010761600693390341,0.0009569416667272571,0.0008497188572453425,0.005761603587847065
Copper_ore,0.001220245419846883,0.0011530206865044404,0.0010959349905472649,0.0010181662031341725,0.0009334508200118075,0.0008590494554296236,0.0007995550083731791,0.0007150388587261273,0.0006427100016669299,0.0006340659043717318,0.0006372781536238867,0.0005243212093085298,0.0004890156339940387,0.00044251737952197723,0.0007974549803614709
HEX,1.699776070999834,1.5302826759160613,1.4727063053698017,1.4053985629819579,1.3406312206789495,1.2514517369668183,1.185613100503116,1.0214255364157916,0.844636272259378,0.8147668543162068,0.7706791211850819,0.6766722023952476,0.6515031868275694,0.6222136311720046,1.0919826055705582
HP,0.20899531825899886,0.20039139615142035,0.21218784291236203,0.24374272859085142,0.2239462765501597,0.24449851471316908,0.2779712260647124,0.2944831245812064,0.279387746472178,0.29752481495810756,0.333902597186038,0.24180851513746626,0.2957326222647676,0.24566003022133334,0.25715948243305514
Iron,0.40118313913922565,0.3853607457588655,0.3699711292285876,0.35474836569415685,0.3364931682705952,0.31652046801081074,0.2922486051769595,0.27523271997219106,0.2575976084520111,0.24262805076731941,0.23001526607369194,0.19464771432527567,0.17620397763814358,0.16076921123303797,0.2852585835529194
Nickel,0.0006296218766218698,0.0006449359009072341,0.0005947999588086973,0.0005928212704559396,0.0005199329140516269,0.0004431957789719516,0.0003791238766475022,0.00031704193238422213,0.00024405603898067907,0.00023143867892720378,0.00022481072197497087,0.0002110786025248175,0.0002032424147185744,0.00020143515965734857,0.0003883953661166171
Steel,0.020591790358818203,0.019006668254910323,0.017535317661926144,0.01612061038988191,0.014781375546435268,0.013532823773902686,0.012393985045049852,0.011291818571142462,0.010253314240951023,0.00928415959544775,0.008394646717324917,0.0075511339272984436,0.006786074315642528,0.006078113502763338,0.012400130850106775
