,technology,edge,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_transport,AUS-AUT,15915.215964409905,15915.215964409905,15915.215964409905,15915.215964409905,15915.215964409905,15915.215964409905
1,Aluminium_transport,AUS-BRA,14058.166842882403,14058.166842882403,14058.166842882403,14058.166842882403,14058.166842882403,14058.166842882403
2,Aluminium_transport,AUS-CHN,9007.978119356967,9007.978119356967,9007.978119356967,9007.978119356967,9007.978119356967,9007.978119356967
3,Aluminium_transport,AUS-CZE,16037.243219159118,16037.243219159118,16037.243219159118,16037.243219159118,16037.243219159118,16037.243219159118
4,Aluminium_transport,AUS-DEU,16066.309408164567,16066.309408164567,16066.309408164567,16066.309408164567,16066.309408164567,16066.309408164567
5,Aluminium_transport,AUS-ITA,16216.930274743836,16216.930274743836,16216.930274743836,16216.930274743836,16216.930274743836,16216.930274743836
6,Aluminium_transport,AUS-JPN,7952.750941799256,7952.750941799256,7952.750941799256,7952.750941799256,7952.750941799256,7952.750941799256
7,Aluminium_transport,AUS-KOR,8415.328351299182,8415.328351299182,8415.328351299182,8415.328351299182,8415.328351299182,8415.328351299182
8,Aluminium_transport,AUS-ROE,15901.787755136034,15901.787755136034,15901.787755136034,15901.787755136034,15901.787755136034,15901.787755136034
9,Aluminium_transport,AUS-ROW,14953.211416574137,14953.211416574137,14953.211416574137,14953.211416574137,14953.211416574137,14953.211416574137
10,Aluminium_transport,AUS-USA,15944.032153849688,15944.032153849688,15944.032153849688,15944.032153849688,15944.032153849688,15944.032153849688
11,Aluminium_transport,AUT-AUS,15915.215964409905,15915.215964409905,15915.215964409905,15915.215964409905,15915.215964409905,15915.215964409905
12,Aluminium_transport,AUT-BRA,9526.063680684438,9526.063680684438,9526.063680684438,9526.063680684438,9526.063680684438,9526.063680684438
13,Aluminium_transport,AUT-CHN,7461.110306900118,7461.110306900118,7461.110306900118,7461.110306900118,7461.110306900118,7461.110306900118
14,Aluminium_transport,AUT-CZE,250.52610301196955,250.52610301196955,250.52610301196955,250.52610301196955,250.52610301196955,250.52610301196955
15,Aluminium_transport,AUT-DEU,523.2501446427218,523.2501446427218,523.2501446427218,523.2501446427218,523.2501446427218,523.2501446427218
16,Aluminium_transport,AUT-ITA,764.9791726038882,764.9791726038882,764.9791726038882,764.9791726038882,764.9791726038882,764.9791726038882
17,Aluminium_transport,AUT-JPN,9131.06688267697,9131.06688267697,9131.06688267697,9131.06688267697,9131.06688267697,9131.06688267697
18,Aluminium_transport,AUT-KOR,8276.157111060122,8276.157111060122,8276.157111060122,8276.157111060122,8276.157111060122,8276.157111060122
19,Aluminium_transport,AUT-ROE,706.710131256787,706.710131256787,706.710131256787,706.710131256787,706.710131256787,706.710131256787
20,Aluminium_transport,AUT-ROW,5587.750869958035,5587.750869958035,5587.750869958035,5587.750869958035,5587.750869958035,5587.750869958035
21,Aluminium_transport,AUT-USA,7123.32439030271,7123.32439030271,7123.32439030271,7123.32439030271,7123.32439030271,7123.32439030271
22,Aluminium_transport,BRA-AUS,14058.166842882403,14058.166842882403,14058.166842882403,14058.166842882403,14058.166842882403,14058.166842882403
23,Aluminium_transport,BRA-AUT,9526.063680684438,9526.063680684438,9526.063680684438,9526.063680684438,9526.063680684438,9526.063680684438
24,Aluminium_transport,BRA-CHN,16932.9715374698,16932.9715374698,16932.9715374698,16932.9715374698,16932.9715374698,16932.9715374698
25,Aluminium_transport,BRA-CZE,9510.953574997851,9510.953574997851,9510.953574997851,9510.953574997851,9510.953574997851,9510.953574997851
