,technology,capacity_type,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,power,AUS,0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1,Aluminium_production,power,AUS,1,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
2,Aluminium_production,power,AUS,2,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
3,Aluminium_production,power,AUS,3,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
4,Aluminium_production,power,AUS,4,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
5,Aluminium_production,power,AUS,5,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
6,Aluminium_production,power,AUS,6,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
7,Aluminium_production,power,AUS,7,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
8,Aluminium_production,power,AUS,8,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
9,Aluminium_production,power,AUS,9,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
10,Aluminium_production,power,AUS,10,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
11,Aluminium_production,power,AUS,11,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
12,Aluminium_production,power,AUS,12,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
13,Aluminium_production,power,AUS,13,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
14,Aluminium_production,power,AUT,0,491.0,491.0,491.0,491.0,491.0,491.0
15,Aluminium_production,power,AUT,1,491.0,491.0,491.0,491.0,491.0,491.0
16,Aluminium_production,power,AUT,2,491.0,491.0,491.0,491.0,491.0,491.0
17,Aluminium_production,power,AUT,3,491.0,491.0,491.0,491.0,491.0,491.0
18,Aluminium_production,power,AUT,4,491.0,491.0,491.0,491.0,491.0,491.0
19,Aluminium_production,power,AUT,5,491.0,491.0,491.0,491.0,491.0,491.0
20,Aluminium_production,power,AUT,6,491.0,491.0,491.0,491.0,491.0,491.0
21,Aluminium_production,power,AUT,7,491.0,491.0,491.0,491.0,491.0,491.0
