commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.35733278401460356,0.3600152163764106,0.3723636549601011,0.38592185724417544,0.4004982216566645,0.41541056804578586,0.42691465361294895,0.4254143791433639,0.43005487994421726,0.4460456378850881,0.4576505271783614,0.4714425364670118,0.4810665034517669,0.4915851385661519,0.4229797541819037
Bauxite,0.07612866190093913,0.07029508144399059,0.06476514515622969,0.059534876835067946,0.054599896600959784,0.049955322635956805,0.045595692252797984,0.041514892477869186,0.03770611437157153,0.03416182073530503,0.05590568105365514,0.12362179938130934,0.1860473567248435,0.24341101809673674,0.08166023997623088
Compressor,0.15499166143608084,0.16282051497120897,0.1668904005346772,0.1650585958458352,0.17572895193381352,0.18306304430059814,0.19976174311786293,0.1675308318542596,0.1615174330140844,0.17022414881164197,0.16103574842015211,0.12044494930967316,0.09326187105385746,0.08346909499821946,0.15469992782871178
Copper,0.001854526271802553,0.001757629474802354,0.0016609309606874084,0.0015647905424598261,0.0014695854372757096,0.0013663423000710197,0.0012285076355516172,0.001103161356385249,0.0009892441100427442,0.000885802713417128,0.000791973831307777,0.0007069705671589434,0.0006300716983352598,0.0005606129084602431,0.0011835821291255595
Copper_ore,0.0007614637320948451,0.0007064255917971771,0.0006562290948596999,0.0006124637448554864,0.0005666066614248568,0.0005228932952367914,0.0005047045652729483,0.0005156656998181837,0.0005176504099300728,0.000523882594544586,0.0005382296766821887,0.0004752081182569945,0.0004342390228675064,0.0004372051703700903,0.000555204812715102
HEX,1.699776070999834,1.5302826759160613,1.4727063053698017,1.4053985629819579,1.3406990736693625,1.2515131029073763,1.1856694016695577,1.0214737566954486,0.8446362722593591,0.814766854316205,0.7703092560439564,0.6774005544743996,0.6358481959188929,0.6092618878599496,1.0899815693630115
HP,0.20899531825899886,0.20039139615142035,0.21218784291236203,0.24374272859086363,0.2245431886994751,0.24480979601751512,0.27826155909431527,0.29474099792170916,0.2791834489801049,0.29752481495810806,0.3320791249296228,0.25768379259276564,0.2820821937320456,0.25122418297858784,0.25767502755842103
Iron,0.40118313913922565,0.3853607457588655,0.3699711292285876,0.35474836569415685,0.3364895187851526,0.3165155538573297,0.2922423539176225,0.27522590386754714,0.2575976084520111,0.24262805076731941,0.22818410236141973,0.2016470272727594,0.18046555296809713,0.16503107906322506,0.2862350093666657
Nickel,0.0002904987134518117,0.00025800513038050626,0.0002540317732854969,0.00024965409515746614,0.00024356689044475205,0.00024352758970308552,0.0002466362783442599,0.00029709340303954234,0.000328111912536703,0.000320511961419298,0.0003184616144564975,0.00032703429579505823,0.0003231927463475492,0.00032229438874597366,0.00028733005665057147
Steel,0.020591790358818203,0.019006668254910323,0.017535317661926144,0.01612061038988191,0.014781505391391054,0.013532932609737078,0.012394076333682046,0.01129189434550005,0.010253314240951023,0.00928415959544775,0.008397098545151005,0.007551812503492703,0.006785962634799284,0.006078969245635582,0.012400436579380298
