,technology,location,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
80,HEX_manufacturing,KOR,0.0,0.0,0.0,0.0,0.0,0.0
81,HEX_manufacturing,ROE,0.0,0.0,0.0,0.0,0.0,0.0
82,HEX_manufacturing,ROW,0.0,0.0,0.0,0.0,0.0,0.0
83,HEX_manufacturing,USA,0.0,0.0,0.0,0.0,0.0,0.0
84,HP_assembly,AUS,0.0,0.0,0.0,0.0,0.0,0.0
85,HP_assembly,AUT,0.0,0.0,0.0,0.0,0.0,0.0
86,HP_assembly,BRA,0.0,0.0,0.0,0.0,0.0,0.0
87,HP_assembly,CHN,0.0,0.0,0.0,0.0,0.0,0.0
88,HP_assembly,CZE,0.0,0.0,0.0,0.0,0.0,0.0
89,HP_assembly,DEU,0.0,0.0,0.0,0.0,0.0,0.0
90,HP_assembly,ITA,0.0,0.0,0.0,0.0,0.0,0.0
91,HP_assembly,JPN,0.0,0.0,0.0,0.0,0.0,0.0
92,HP_assembly,KOR,0.0,0.0,0.0,0.0,0.0,0.0
93,HP_assembly,ROE,0.0,0.0,0.0,0.0,0.0,0.0
94,HP_assembly,ROW,0.0,0.0,0.0,0.0,0.0,0.0
95,HP_assembly,USA,0.0,0.0,0.0,0.0,0.0,0.0
96,Iron_mining,AUS,0.013,0.013,0.013,0.013,0.013,0.013
97,Iron_mining,AUT,0.013,0.013,0.013,0.013,0.013,0.013
98,Iron_mining,BRA,0.013,0.013,0.013,0.013,0.013,0.013
99,Iron_mining,CHN,0.013,0.013,0.013,0.013,0.013,0.013
100,Iron_mining,CZE,0.013,0.013,0.013,0.013,0.013,0.013
101,Iron_mining,DEU,0.013,0.013,0.013,0.013,0.013,0.013
102,Iron_mining,ITA,0.013,0.013,0.013,0.013,0.013,0.013
103,Iron_mining,JPN,0.013,0.013,0.013,0.013,0.013,0.013
104,Iron_mining,KOR,0.013,0.013,0.013,0.013,0.013,0.013
105,Iron_mining,ROE,0.013,0.013,0.013,0.013,0.013,0.013
106,Iron_mining,ROW,0.013,0.013,0.013,0.013,0.013,0.013
107,Iron_mining,USA,0.013,0.013,0.013,0.013,0.013,0.013
108,Nickel_mining,AUS,9.1,9.1,9.1,9.1,9.1,9.1
109,Nickel_mining,AUT,9.1,9.1,9.1,9.1,9.1,9.1
110,Nickel_mining,BRA,9.1,9.1,9.1,9.1,9.1,9.1
111,Nickel_mining,CHN,9.1,9.1,9.1,9.1,9.1,9.1
112,Nickel_mining,CZE,9.1,9.1,9.1,9.1,9.1,9.1
113,Nickel_mining,DEU,9.1,9.1,9.1,9.1,9.1,9.1
114,Nickel_mining,ITA,9.1,9.1,9.1,9.1,9.1,9.1
115,Nickel_mining,JPN,9.1,9.1,9.1,9.1,9.1,9.1
116,Nickel_mining,KOR,9.1,9.1,9.1,9.1,9.1,9.1
117,Nickel_mining,ROE,9.1,9.1,9.1,9.1,9.1,9.1
118,Nickel_mining,ROW,9.1,9.1,9.1,9.1,9.1,9.1
119,Nickel_mining,USA,9.1,9.1,9.1,9.1,9.1,9.1
120,Nickel_recycling,AUS,9.1,9.1,9.1,9.1,9.1,9.1
121,Nickel_recycling,AUT,9.1,9.1,9.1,9.1,9.1,9.1
122,Nickel_recycling,BRA,9.1,9.1,9.1,9.1,9.1,9.1
123,Nickel_recycling,CHN,9.1,9.1,9.1,9.1,9.1,9.1
124,Nickel_recycling,CZE,9.1,9.1,9.1,9.1,9.1,9.1
125,Nickel_recycling,DEU,9.1,9.1,9.1,9.1,9.1,9.1
126,Nickel_recycling,ITA,9.1,9.1,9.1,9.1,9.1,9.1
127,Nickel_recycling,JPN,9.1,9.1,9.1,9.1,9.1,9.1
128,Nickel_recycling,KOR,9.1,9.1,9.1,9.1,9.1,9.1
129,Nickel_recycling,ROE,9.1,9.1,9.1,9.1,9.1,9.1
130,Nickel_recycling,ROW,9.1,9.1,9.1,9.1,9.1,9.1
131,Nickel_recycling,USA,9.1,9.1,9.1,9.1,9.1,9.1
132,Steel_production,AUS,0.0,0.0,0.0,0.0,0.0,0.0
133,Steel_production,AUT,0.0,0.0,0.0,0.0,0.0,0.0
134,Steel_production,BRA,0.0,0.0,0.0,0.0,0.0,0.0
135,Steel_production,CHN,0.0,0.0,0.0,0.0,0.0,0.0
136,Steel_production,CZE,0.0,0.0,0.0,0.0,0.0,0.0
137,Steel_production,DEU,0.0,0.0,0.0,0.0,0.0,0.0
138,Steel_production,ITA,0.0,0.0,0.0,0.0,0.0,0.0
139,Steel_production,JPN,0.0,0.0,0.0,0.0,0.0,0.0
140,Steel_production,KOR,0.0,0.0,0.0,0.0,0.0,0.0
141,Steel_production,ROE,0.0,0.0,0.0,0.0,0.0,0.0
142,Steel_production,ROW,0.0,0.0,0.0,0.0,0.0,0.0
143,Steel_production,USA,0.0,0.0,0.0,0.0,0.0,0.0
144,Aluminium_transport,AUS-AUT,0.0,0.0,0.0,0.0,0.0,0.0
145,Aluminium_transport,AUS-BRA,0.0,0.0,0.0,0.0,0.0,0.0
146,Aluminium_transport,AUS-CHN,0.0,0.0,0.0,0.0,0.0,0.0
147,Aluminium_transport,AUS-CZE,0.0,0.0,0.0,0.0,0.0,0.0
148,Aluminium_transport,AUS-DEU,0.0,0.0,0.0,0.0,0.0,0.0
149,Aluminium_transport,AUS-ITA,0.0,0.0,0.0,0.0,0.0,0.0
150,Aluminium_transport,AUS-JPN,0.0,0.0,0.0,0.0,0.0,0.0
151,Aluminium_transport,AUS-KOR,0.0,0.0,0.0,0.0,0.0,0.0
152,Aluminium_transport,AUS-ROE,0.0,0.0,0.0,0.0,0.0,0.0
153,Aluminium_transport,AUS-ROW,0.0,0.0,0.0,0.0,0.0,0.0
154,Aluminium_transport,AUS-USA,0.0,0.0,0.0,0.0,0.0,0.0
155,Aluminium_transport,AUT-AUS,0.0,0.0,0.0,0.0,0.0,0.0
156,Aluminium_transport,AUT-BRA,0.0,0.0,0.0,0.0,0.0,0.0
157,Aluminium_transport,AUT-CHN,0.0,0.0,0.0,0.0,0.0,0.0
158,Aluminium_transport,AUT-CZE,0.0,0.0,0.0,0.0,0.0,0.0
159,Aluminium_transport,AUT-DEU,0.0,0.0,0.0,0.0,0.0,0.0
160,Aluminium_transport,AUT-ITA,0.0,0.0,0.0,0.0,0.0,0.0
161,Aluminium_transport,AUT-JPN,0.0,0.0,0.0,0.0,0.0,0.0
162,Aluminium_transport,AUT-KOR,0.0,0.0,0.0,0.0,0.0,0.0
163,Aluminium_transport,AUT-ROE,0.0,0.0,0.0,0.0,0.0,0.0
164,Aluminium_transport,AUT-ROW,0.0,0.0,0.0,0.0,0.0,0.0
165,Aluminium_transport,AUT-USA,0.0,0.0,0.0,0.0,0.0,0.0
166,Aluminium_transport,BRA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
167,Aluminium_transport,BRA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
168,Aluminium_transport,BRA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
169,Aluminium_transport,BRA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
170,Aluminium_transport,BRA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
171,Aluminium_transport,BRA-ITA,0.0,0.0,0.0,0.0,0.0,0.0
172,Aluminium_transport,BRA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
173,Aluminium_transport,BRA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
174,Aluminium_transport,BRA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
175,Aluminium_transport,BRA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
176,Aluminium_transport,BRA-USA,0.0,0.0,0.0,0.0,0.0,0.0
177,Aluminium_transport,CHN-AUS,0.0,0.0,0.0,0.0,0.0,0.0
178,Aluminium_transport,CHN-AUT,0.0,0.0,0.0,0.0,0.0,0.0
179,Aluminium_transport,CHN-BRA,0.0,0.0,0.0,0.0,0.0,0.0
180,Aluminium_transport,CHN-CZE,0.0,0.0,0.0,0.0,0.0,0.0
181,Aluminium_transport,CHN-DEU,0.0,0.0,0.0,0.0,0.0,0.0
182,Aluminium_transport,CHN-ITA,0.0,0.0,0.0,0.0,0.0,0.0
183,Aluminium_transport,CHN-JPN,0.0,0.0,0.0,0.0,0.0,0.0
184,Aluminium_transport,CHN-KOR,0.0,0.0,0.0,0.0,0.0,0.0
185,Aluminium_transport,CHN-ROE,0.0,0.0,0.0,0.0,0.0,0.0
186,Aluminium_transport,CHN-ROW,0.0,0.0,0.0,0.0,0.0,0.0
187,Aluminium_transport,CHN-USA,0.0,0.0,0.0,0.0,0.0,0.0
188,Aluminium_transport,CZE-AUS,0.0,0.0,0.0,0.0,0.0,0.0
189,Aluminium_transport,CZE-AUT,0.0,0.0,0.0,0.0,0.0,0.0
190,Aluminium_transport,CZE-BRA,0.0,0.0,0.0,0.0,0.0,0.0
191,Aluminium_transport,CZE-CHN,0.0,0.0,0.0,0.0,0.0,0.0
192,Aluminium_transport,CZE-DEU,0.0,0.0,0.0,0.0,0.0,0.0
193,Aluminium_transport,CZE-ITA,0.0,0.0,0.0,0.0,0.0,0.0
194,Aluminium_transport,CZE-JPN,0.0,0.0,0.0,0.0,0.0,0.0
195,Aluminium_transport,CZE-KOR,0.0,0.0,0.0,0.0,0.0,0.0
196,Aluminium_transport,CZE-ROE,0.0,0.0,0.0,0.0,0.0,0.0
197,Aluminium_transport,CZE-ROW,0.0,0.0,0.0,0.0,0.0,0.0
198,Aluminium_transport,CZE-USA,0.0,0.0,0.0,0.0,0.0,0.0
199,Aluminium_transport,DEU-AUS,0.0,0.0,0.0,0.0,0.0,0.0
200,Aluminium_transport,DEU-AUT,0.0,0.0,0.0,0.0,0.0,0.0
201,Aluminium_transport,DEU-BRA,0.0,0.0,0.0,0.0,0.0,0.0
202,Aluminium_transport,DEU-CHN,0.0,0.0,0.0,0.0,0.0,0.0
203,Aluminium_transport,DEU-CZE,0.0,0.0,0.0,0.0,0.0,0.0
204,Aluminium_transport,DEU-ITA,0.0,0.0,0.0,0.0,0.0,0.0
205,Aluminium_transport,DEU-JPN,0.0,0.0,0.0,0.0,0.0,0.0
206,Aluminium_transport,DEU-KOR,0.0,0.0,0.0,0.0,0.0,0.0
207,Aluminium_transport,DEU-ROE,0.0,0.0,0.0,0.0,0.0,0.0
208,Aluminium_transport,DEU-ROW,0.0,0.0,0.0,0.0,0.0,0.0
209,Aluminium_transport,DEU-USA,0.0,0.0,0.0,0.0,0.0,0.0
210,Aluminium_transport,ITA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
211,Aluminium_transport,ITA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
212,Aluminium_transport,ITA-BRA,0.0,0.0,0.0,0.0,0.0,0.0
213,Aluminium_transport,ITA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
214,Aluminium_transport,ITA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
215,Aluminium_transport,ITA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
216,Aluminium_transport,ITA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
217,Aluminium_transport,ITA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
218,Aluminium_transport,ITA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
219,Aluminium_transport,ITA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
220,Aluminium_transport,ITA-USA,0.0,0.0,0.0,0.0,0.0,0.0
221,Aluminium_transport,JPN-AUS,0.0,0.0,0.0,0.0,0.0,0.0
222,Aluminium_transport,JPN-AUT,0.0,0.0,0.0,0.0,0.0,0.0
223,Aluminium_transport,JPN-BRA,0.0,0.0,0.0,0.0,0.0,0.0
224,Aluminium_transport,JPN-CHN,0.0,0.0,0.0,0.0,0.0,0.0
225,Aluminium_transport,JPN-CZE,0.0,0.0,0.0,0.0,0.0,0.0
226,Aluminium_transport,JPN-DEU,0.0,0.0,0.0,0.0,0.0,0.0
227,Aluminium_transport,JPN-ITA,0.0,0.0,0.0,0.0,0.0,0.0
228,Aluminium_transport,JPN-KOR,0.0,0.0,0.0,0.0,0.0,0.0
229,Aluminium_transport,JPN-ROE,0.0,0.0,0.0,0.0,0.0,0.0
230,Aluminium_transport,JPN-ROW,0.0,0.0,0.0,0.0,0.0,0.0
231,Aluminium_transport,JPN-USA,0.0,0.0,0.0,0.0,0.0,0.0
232,Aluminium_transport,KOR-AUS,0.0,0.0,0.0,0.0,0.0,0.0
233,Aluminium_transport,KOR-AUT,0.0,0.0,0.0,0.0,0.0,0.0
234,Aluminium_transport,KOR-BRA,0.0,0.0,0.0,0.0,0.0,0.0
235,Aluminium_transport,KOR-CHN,0.0,0.0,0.0,0.0,0.0,0.0
236,Aluminium_transport,KOR-CZE,0.0,0.0,0.0,0.0,0.0,0.0
237,Aluminium_transport,KOR-DEU,0.0,0.0,0.0,0.0,0.0,0.0
238,Aluminium_transport,KOR-ITA,0.0,0.0,0.0,0.0,0.0,0.0
239,Aluminium_transport,KOR-JPN,0.0,0.0,0.0,0.0,0.0,0.0
240,Aluminium_transport,KOR-ROE,0.0,0.0,0.0,0.0,0.0,0.0
241,Aluminium_transport,KOR-ROW,0.0,0.0,0.0,0.0,0.0,0.0
242,Aluminium_transport,KOR-USA,0.0,0.0,0.0,0.0,0.0,0.0
243,Aluminium_transport,ROE-AUS,0.0,0.0,0.0,0.0,0.0,0.0
