,technology,edge,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
60,Aluminium_transport,AUS-DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
61,Aluminium_transport,AUS-DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
62,Aluminium_transport,AUS-DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
63,Aluminium_transport,AUS-DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
64,Aluminium_transport,AUS-DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
65,Aluminium_transport,AUS-DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
66,Aluminium_transport,AUS-DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
67,Aluminium_transport,AUS-DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
68,Aluminium_transport,AUS-DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
69,Aluminium_transport,AUS-DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
70,Aluminium_transport,AUS-ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
71,Aluminium_transport,AUS-ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
72,Aluminium_transport,AUS-ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
73,Aluminium_transport,AUS-ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
74,Aluminium_transport,AUS-ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
75,Aluminium_transport,AUS-ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
76,Aluminium_transport,AUS-ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
77,Aluminium_transport,AUS-ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
78,Aluminium_transport,AUS-ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
79,Aluminium_transport,AUS-ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
80,Aluminium_transport,AUS-ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
81,Aluminium_transport,AUS-ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
82,Aluminium_transport,AUS-ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
83,Aluminium_transport,AUS-ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
84,Aluminium_transport,AUS-JPN,0,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,22.91072
85,Aluminium_transport,AUS-JPN,1,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,24.6506268
86,Aluminium_transport,AUS-JPN,2,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,29.908
87,Aluminium_transport,AUS-JPN,3,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,29.908
88,Aluminium_transport,AUS-JPN,4,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,29.908
89,Aluminium_transport,AUS-JPN,5,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,5.640000000000008,29.908
90,Aluminium_transport,AUS-JPN,6,2.004000000000005,2.004000000000012,2.803370293207543,2.004000000000012,5.640000000000008,29.908
91,Aluminium_transport,AUS-JPN,7,1.6,1.6,1.6,1.6,5.640000000000008,6.387999999999996
92,Aluminium_transport,AUS-JPN,8,0.0,0.0,0.0,0.0,0.0,0.0
93,Aluminium_transport,AUS-JPN,9,0.0,0.0,0.0,0.0,0.0,0.0
94,Aluminium_transport,AUS-JPN,10,0.0,0.0,0.0,0.0,0.0,0.0
95,Aluminium_transport,AUS-JPN,11,0.0,0.0,0.0,0.0,0.0,0.0
96,Aluminium_transport,AUS-JPN,12,0.0,0.0,0.0,0.0,0.0,0.0
97,Aluminium_transport,AUS-JPN,13,0.0,0.0,0.0,0.0,0.0,0.0
98,Aluminium_transport,AUS-KOR,0,2.424,2.424,2.424,2.424,2.424,2.424
99,Aluminium_transport,AUS-KOR,1,2.424,2.424,2.424,2.424,2.424,2.424
100,Aluminium_transport,AUS-KOR,2,2.424,2.424,2.424,2.424,2.424,2.424
101,Aluminium_transport,AUS-KOR,3,2.424,2.424,2.424,2.424,2.424,2.424
102,Aluminium_transport,AUS-KOR,4,2.424,2.424,2.424,2.424,2.424,2.424
103,Aluminium_transport,AUS-KOR,5,2.424,2.424,2.424,2.424,2.424,2.424
104,Aluminium_transport,AUS-KOR,6,4.04,4.04,3.2406297067924683,4.04,2.424,4.04
105,Aluminium_transport,AUS-KOR,7,4.04,4.04,4.04,4.04,2.424,4.04
106,Aluminium_transport,AUS-KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
107,Aluminium_transport,AUS-KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
108,Aluminium_transport,AUS-KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
109,Aluminium_transport,AUS-KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
110,Aluminium_transport,AUS-KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
111,Aluminium_transport,AUS-KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
112,Aluminium_transport,AUS-ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
113,Aluminium_transport,AUS-ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
114,Aluminium_transport,AUS-ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
115,Aluminium_transport,AUS-ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
116,Aluminium_transport,AUS-ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
117,Aluminium_transport,AUS-ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
118,Aluminium_transport,AUS-ROE,6,0.0,0.0,0.0,0.0,0.0,1.2160199200000257
119,Aluminium_transport,AUS-ROE,7,0.0,0.0,0.0,0.0,0.0,38.260000000000005
120,Aluminium_transport,AUS-ROE,8,0.0,0.0,0.0,0.0,0.0,38.55143799999997
121,Aluminium_transport,AUS-ROE,9,0.0,0.0,0.0,0.0,0.0,35.76
122,Aluminium_transport,AUS-ROE,10,0.0,0.0,0.0,0.0,0.0,31.72
123,Aluminium_transport,AUS-ROE,11,0.0,0.0,0.0,0.0,0.0,31.72
124,Aluminium_transport,AUS-ROE,12,0.0,0.0,0.0,0.0,0.0,27.68
125,Aluminium_transport,AUS-ROE,13,0.0,0.0,0.0,0.0,0.0,23.64
126,Aluminium_transport,AUS-ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
127,Aluminium_transport,AUS-ROW,1,0.0,0.0,0.0,0.0,0.0,0.0
128,Aluminium_transport,AUS-ROW,2,0.0,0.0,0.0,0.0,0.0,0.0
129,Aluminium_transport,AUS-ROW,3,0.0,0.0,0.0,0.0,0.0,0.0
130,Aluminium_transport,AUS-ROW,4,0.0,0.0,0.0,0.0,0.0,0.0
131,Aluminium_transport,AUS-ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
132,Aluminium_transport,AUS-ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
133,Aluminium_transport,AUS-ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
134,Aluminium_transport,AUS-ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
135,Aluminium_transport,AUS-ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
136,Aluminium_transport,AUS-ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
137,Aluminium_transport,AUS-ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
138,Aluminium_transport,AUS-ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
139,Aluminium_transport,AUS-ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
140,Aluminium_transport,AUS-USA,0,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,23.757279999999998
141,Aluminium_transport,AUS-USA,1,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,22.017373199999998
142,Aluminium_transport,AUS-USA,2,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,16.759999999999998
143,Aluminium_transport,AUS-USA,3,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,16.759999999999998
144,Aluminium_transport,AUS-USA,4,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,16.759999999999998
145,Aluminium_transport,AUS-USA,5,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,41.02799999999999,16.759999999999998
146,Aluminium_transport,AUS-USA,6,43.047999999999995,43.04799999999999,43.04799999999999,43.04799999999999,41.02799999999999,13.927980079999973
147,Aluminium_transport,AUS-USA,7,43.04799999999999,43.04799999999999,43.04799999999999,43.04799999999999,41.02799999999999,0.0
148,Aluminium_transport,AUS-USA,8,35.76,35.76,35.76,35.76,35.76,0.0
149,Aluminium_transport,AUS-USA,9,35.76,35.76,35.76,35.76,35.76,0.0
150,Aluminium_transport,AUS-USA,10,31.72,31.72,31.72,31.72,31.72,0.0
151,Aluminium_transport,AUS-USA,11,31.72,31.72,31.72,31.72,31.72,0.0
152,Aluminium_transport,AUS-USA,12,27.68,27.68,27.68,27.68,27.68,0.0
153,Aluminium_transport,AUS-USA,13,23.64,23.64,23.64,23.64,23.64,0.0
154,Aluminium_transport,AUT-AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
155,Aluminium_transport,AUT-AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
156,Aluminium_transport,AUT-AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
157,Aluminium_transport,AUT-AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
158,Aluminium_transport,AUT-AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
159,Aluminium_transport,AUT-AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
160,Aluminium_transport,AUT-AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
161,Aluminium_transport,AUT-AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
