,technology,capacity_type,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
60,Compressor_manufacturing,power,CZE,4,1.0,1.0,1.0,1.0,1.0,1.0
61,Compressor_manufacturing,power,CZE,5,1.0,1.0,1.0,1.0,1.0,1.0
62,Compressor_manufacturing,power,CZE,6,1.0,1.0,1.0,1.0,1.0,1.0
63,Compressor_manufacturing,power,CZE,7,1.0,1.0,1.0,1.0,1.0,1.0
64,Compressor_manufacturing,power,CZE,8,1.0,1.0,1.0,1.0,1.0,1.0
65,Compressor_manufacturing,power,CZE,9,1.0,1.0,1.0,1.0,1.0,1.0
66,Compressor_manufacturing,power,CZE,10,1.0,1.0,1.0,1.0,1.0,1.0
67,Compressor_manufacturing,power,CZE,11,1.0,1.0,1.0,1.0,1.0,1.0
68,Compressor_manufacturing,power,CZE,12,1.0,1.0,1.0,1.0,1.0,1.0
69,Compressor_manufacturing,power,CZE,13,1.0,1.0,1.0,1.0,1.0,1.0
70,Compressor_manufacturing,power,DEU,0,1.0,1.0,1.0,1.0,1.0,1.0
71,Compressor_manufacturing,power,DEU,1,1.0,1.0,1.0,1.0,1.0,1.0
72,Compressor_manufacturing,power,DEU,2,1.0,1.0,1.0,1.0,1.0,1.0
73,Compressor_manufacturing,power,DEU,3,1.0,1.0,1.0,1.0,1.0,1.0
74,Compressor_manufacturing,power,DEU,4,1.0,1.0,1.0,1.0,1.0,1.0
75,Compressor_manufacturing,power,DEU,5,1.0,1.0,1.0,1.0,1.0,1.0
76,Compressor_manufacturing,power,DEU,6,1.0,1.0,1.0,1.0,1.0,1.0
77,Compressor_manufacturing,power,DEU,7,1.0,1.0,1.0,1.0,1.0,1.0
78,Compressor_manufacturing,power,DEU,8,1.0,1.0,1.0,1.0,1.0,1.0
79,Compressor_manufacturing,power,DEU,9,1.0,1.0,1.0,1.0,1.0,1.0
80,Compressor_manufacturing,power,DEU,10,1.0,1.0,1.0,1.0,1.0,1.0
81,Compressor_manufacturing,power,DEU,11,1.0,1.0,1.0,1.0,1.0,1.0
82,Compressor_manufacturing,power,DEU,12,1.0,1.0,1.0,1.0,1.0,1.0
83,Compressor_manufacturing,power,DEU,13,1.0,1.0,1.0,1.0,1.0,1.0
84,Compressor_manufacturing,power,ITA,0,1.0,1.0,1.0,1.0,1.0,1.0
85,Compressor_manufacturing,power,ITA,1,1.0,1.0,1.0,1.0,1.0,1.0
86,Compressor_manufacturing,power,ITA,2,1.0,1.0,1.0,1.0,1.0,1.0
87,Compressor_manufacturing,power,ITA,3,1.0,1.0,1.0,1.0,1.0,1.0
88,Compressor_manufacturing,power,ITA,4,1.0,1.0,1.0,1.0,1.0,1.0
89,Compressor_manufacturing,power,ITA,5,1.0,1.0,1.0,1.0,1.0,1.0
90,Compressor_manufacturing,power,ITA,6,1.0,1.0,1.0,1.0,1.0,1.0
91,Compressor_manufacturing,power,ITA,7,1.0,1.0,1.0,1.0,1.0,1.0
92,Compressor_manufacturing,power,ITA,8,1.0,1.0,1.0,1.0,1.0,1.0
93,Compressor_manufacturing,power,ITA,9,1.0,1.0,1.0,1.0,1.0,1.0
94,Compressor_manufacturing,power,ITA,10,1.0,1.0,1.0,1.0,1.0,1.0
95,Compressor_manufacturing,power,ITA,11,1.0,1.0,1.0,1.0,1.0,1.0
96,Compressor_manufacturing,power,ITA,12,1.0,1.0,1.0,1.0,1.0,1.0
97,Compressor_manufacturing,power,ITA,13,1.0,1.0,1.0,1.0,1.0,1.0
98,Compressor_manufacturing,power,JPN,0,1.0,1.0,1.0,1.0,1.0,1.0
99,Compressor_manufacturing,power,JPN,1,1.0,1.0,1.0,1.0,1.0,1.0
100,Compressor_manufacturing,power,JPN,2,1.0,1.0,1.0,1.0,1.0,1.0
101,Compressor_manufacturing,power,JPN,3,1.0,1.0,1.0,1.0,1.0,1.0
102,Compressor_manufacturing,power,JPN,4,1.0,1.0,1.0,1.0,1.0,1.0
103,Compressor_manufacturing,power,JPN,5,1.0,1.0,1.0,1.0,1.0,1.0
104,Compressor_manufacturing,power,JPN,6,1.0,1.0,1.0,1.0,1.0,1.0
105,Compressor_manufacturing,power,JPN,7,1.0,1.0,1.0,1.0,1.0,1.0
106,Compressor_manufacturing,power,JPN,8,1.0,1.0,1.0,1.0,1.0,1.0
107,Compressor_manufacturing,power,JPN,9,1.0,1.0,1.0,1.0,1.0,1.0
108,Compressor_manufacturing,power,JPN,10,1.0,1.0,1.0,1.0,1.0,1.0
109,Compressor_manufacturing,power,JPN,11,1.0,1.0,1.0,1.0,1.0,1.0
110,Compressor_manufacturing,power,JPN,12,1.0,1.0,1.0,1.0,1.0,1.0
111,Compressor_manufacturing,power,JPN,13,1.0,1.0,1.0,1.0,1.0,1.0
112,Compressor_manufacturing,power,KOR,0,1.0,1.0,1.0,1.0,1.0,1.0
113,Compressor_manufacturing,power,KOR,1,1.0,1.0,1.0,1.0,1.0,1.0
114,Compressor_manufacturing,power,KOR,2,1.0,1.0,1.0,1.0,1.0,1.0
115,Compressor_manufacturing,power,KOR,3,1.0,1.0,1.0,1.0,1.0,1.0
116,Compressor_manufacturing,power,KOR,4,1.0,1.0,1.0,1.0,1.0,1.0
117,Compressor_manufacturing,power,KOR,5,1.0,1.0,1.0,1.0,1.0,1.0
118,Compressor_manufacturing,power,KOR,6,1.0,1.0,1.0,1.0,1.0,1.0
119,Compressor_manufacturing,power,KOR,7,1.0,1.0,1.0,1.0,1.0,1.0
120,Compressor_manufacturing,power,KOR,8,1.0,1.0,1.0,1.0,1.0,1.0
121,Compressor_manufacturing,power,KOR,9,1.0,1.0,1.0,1.0,1.0,1.0
122,Compressor_manufacturing,power,KOR,10,1.0,1.0,1.0,1.0,1.0,1.0
123,Compressor_manufacturing,power,KOR,11,1.0,1.0,1.0,1.0,1.0,1.0
124,Compressor_manufacturing,power,KOR,12,1.0,1.0,1.0,1.0,1.0,1.0
125,Compressor_manufacturing,power,KOR,13,1.0,1.0,1.0,1.0,1.0,1.0
126,Compressor_manufacturing,power,ROE,0,1.0,1.0,1.0,1.0,1.0,1.0
127,Compressor_manufacturing,power,ROE,1,1.0,1.0,1.0,1.0,1.0,1.0
