location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,5,384318.237380428,417.009025,880210.3252656591,32.1736925,1264528.5626460873,449.1827175,2815.176348912149,2.290316304699219,0.07715346808141622
AUS,6,394570.1345683661,422.264,896026.9985378269,33.200094,1290597.133106193,455.464094,2833.5869942498543,2.27089412004794,0.07862402193888184
AUS,7,474185.49091230414,429.818975,912122.4627994762,39.7670525,1386307.9537117803,469.5860275,2952.1916593052383,1.9235562459842621,0.09252046748285135
AUS,8,514595.4138202423,436.07394999999997,929214.873722308,43.235389,1443810.2875425504,479.30933899999997,3012.2723887559187,1.8057193064042734,0.09914691992034838
AUS,9,525448.0564856137,441.52645,966632.3754560316,44.330198,1492080.4319416452,485.856648,3071.03018572187,1.8396345053043264,0.10040213445876232
AUS,10,567174.7519484183,451.93647500000003,1032900.7728342693,47.8523675,1600075.5247826877,499.78884250000004,3201.503092343818,1.8211332032780727,0.10588295069567022
AUS,11,717689.3691431858,574.907625,1066404.3017475775,66.7060725,1784093.6708907634,641.6136975000001,2780.635260503869,1.485885603991467,0.11602920121297747
AUS,12,792694.8009089701,609.4949750000001,1080027.3510827213,74.4744125,1872722.1519916914,683.9693875,2738.0204234530765,1.36247563355313,0.1221903634234228
AUS,13,868300.9781521879,644.27985,1054914.5668065196,82.273001,1923215.5449587074,726.552851,2647.041495070408,1.214918091018923,0.12769761618340228
AUT,0,67855.34034629002,31.606157504000002,479426.734749088,85.54746508,547282.075095378,117.153622584,4671.4908427434475,7.065423772136464,2.706670846311302
AUT,1,68395.48577595303,31.8088,479681.5718870391,82.60404899999999,548077.0576629922,114.412849,4790.345336676234,7.013351341027962,2.5968929667261884
AUT,2,68395.48577595303,31.8088,479963.41389227554,83.246343,548358.8996682286,115.055143,4766.052914889938,7.017472110140703,2.617085303438042
AUT,3,78762.57742780032,40.13074,481814.07356129965,85.3413625,560576.6509891,125.4721025,4467.739360541121,6.117296935882609,2.126583324902556
AUT,4,81359.03473032334,42.21498528400001,482402.7519722663,84.7916404925,563761.7867025896,127.0066257765,4438.837605958211,5.929307710830914,2.008567335084138
AUT,5,86173.8192665272,46.079940796,483494.37774526275,90.66662110749999,569668.19701179,136.74656190349998,4165.868516780673,5.61068758307975,1.9675941318781027
AUT,6,91807.10488696229,50.601928881999996,484771.57711393177,87.60354629625,576578.6820008941,138.20547517825,4171.894646411467,5.280327461701443,1.7312293865424593
AUT,7,98398.04099957782,55.892648470000005,486265.8985471348,89.74654736875,584663.9395467127,145.63919583875,4014.4683316848696,4.9418249957763,1.605695021178337
AUT,8,161699.50157829386,66.81300000000002,485833.07402699965,91.408125,647532.5756052935,158.22112500000003,4092.5797715399467,3.004542804924865,1.3681188541152167
AUT,9,171640.4507092054,70.54247475599999,486511.7000815247,93.4713191825,658152.15079073,164.0137939385,4012.785357782263,2.8344816042564265,1.3250360085297375
AUT,10,194959.92337868447,79.29107446200001,488105.6276437899,94.56813010875,683065.5510224744,173.85920457075002,3928.8431849721746,2.5036203296803095,1.1926705590812932
AUT,11,194959.92337868447,79.29107446200001,506223.43841729854,94.88979110874999,701183.361795983,174.18086557075,4025.6049911014566,2.5965512790750584,1.1967272704095542
AUT,12,194959.92337868447,79.29107446200001,527421.2561817603,97.26613410875,722381.1795604448,176.55720857075,4091.485051265818,2.705280382970364,1.226697137965566
AUT,13,194959.92337868447,79.29107446200001,552222.6855051849,95.70645510874999,747182.6088838694,174.99752957075,4269.675181796151,2.8324933449658967,1.2070268407652491
BRA,0,193965.16129199998,180.29999999999998,477132.8856789997,0.0,671098.0469709997,180.29999999999998,3722.118951586244,2.459889613685377,0.0
BRA,1,207448.88179199997,180.79999999999998,477132.8856789997,0.0,684581.7674709996,180.79999999999998,3786.40358114491,2.300002205639268,0.0
BRA,2,333733.02770360326,257.2848278400001,491546.6046599991,9.198686400000016,825279.6323636023,266.48351424000015,3096.92565679819,1.4728737159828067,0.03575292984520829
BRA,3,374456.05740510183,281.949,496194.6844192237,12.165,870650.7418243255,294.11400000000003,2960.2492292931497,1.32510791214794,0.04314610089058659
