location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,0.06969993493092126,0.07113821828038208,0.07264754239409785,0.07413989458472595,0.07564139045796775,0.07715346808141622,0.07862402193888184,0.09252046748285135,0.09914691992034838,0.10040213445876232,0.10588295069567022,0.11602920121297747,0.1221903634234228,0.12769761618340228
AUT,2.706670846311302,2.5968929667261884,2.617085303438042,2.126583324902556,2.008567335084138,1.9675941318781027,1.7312293865424593,1.605695021178337,1.3681188541152167,1.3250360085297375,1.1926705590812932,1.1967272704095542,1.226697137965566,1.2070268407652491
BRA,0.0,0.0,0.03575292984520829,0.04314610089058659,0.04314610089058659,0.04260397152164028,0.053517660348041715,0.055001817574291054,0.055001817574291054,0.055001817574291054,0.08164949189936992,0.055001817574291054,0.06004685136616572,0.06004685136616572
CHN,0.03776594186496236,0.027925766459287,0.019501665175723264,0.013494685468425503,0.007927510940478251,0.006675944500525471,0.013314333361711849,0.01925090341664569,0.022768227482865628,0.02560440826027078,0.039556860099393194,0.07766073722141383,0.12084232583445415,0.1650744831193178
CZE,3.479822067897074,3.653589943353089,3.847325290151592,3.9146025978943135,4.008769275537642,4.309544944345595,4.402232897116649,4.787383546194511,5.134748670811929,5.2767030130382375,4.06092539591653,4.190759729888046,4.47186102844538,4.7858443480857655
DEU,3.987234042553191,2.9703777022857767,2.5816165599593077,2.549649717514124,2.5367360774818386,2.523822437449555,2.544394253430184,2.1960068541544966,2.089454429454949,2.0805637209896553,2.083409059546614,2.094833817143793,2.0973456684989715,2.115817638653513
ITA,1.8793401440971809,1.9858351986474096,2.0258653104959303,2.039526531892939,2.030168526798721,2.050061852466212,2.073337026404422,1.9542358332091276,2.041273254278726,2.0377925479361227,2.031702509578791,2.0220583912211825,2.0470144938832115,2.0762131377000097
JPN,1.6778907059796253,1.6865964256462913,1.6948129598027475,1.7025621114472327,1.7098653890402242,1.716743973728228,1.7232185824301205,1.729309421784346,1.7350361192158272,1.7404176942667053,1.7559017953188862,1.7502182864550682,1.7546720026917821,1.7588499792827135
KOR,1.4477868136793515,1.4734874729042091,1.4874316219438217,1.5216773633805045,1.528283384100173,1.5313604535165202,1.5313604535165202,1.5359066749776356,1.5412308011178009,1.585016271378895,1.5972322853821295,1.5585522969211745,1.5673995081594814,1.5972322853821295
ROE,0.02096748812919499,0.025114503692302927,0.028599606288519295,0.0322297421664788,0.03555256373141299,0.041737118888925985,0.04906057861129801,0.05641278706081589,0.06326817562144109,0.07138908125372295,0.07780983324422393,0.07128129740613053,0.06760120166724926,0.06772583876120608
ROW,0.30767402783506387,0.3177348682948992,0.34733699818359703,0.38403864275140076,0.4257923602012991,0.4298778366527775,0.3286842988308443,0.26740419578885566,0.22025604162063223,0.19610429387257475,0.16230288897031842,0.12413296957178412,0.11529972858898956,0.10976355345927132
TOTAL,0.19379488245567483,0.19326551016988056,0.192321483877666,0.19113329896087472,0.18935686561092271,0.1853670870508786,0.1780804765483015,0.1803661632764104,0.1832284877960463,0.18562427384693797,0.19479660478144917,0.1950245458312497,0.20580839598872783,0.21757872728225938
USA,0.4024011883622714,0.3804348581065238,0.37275512545187034,0.36602450999756864,0.34793997290879836,0.3317674229881071,0.31790652387911583,0.3328214113583634,0.30294447062021584,0.28684345195346916,0.28029852772600183,0.28288691254651216,0.28570307551469626,0.30197675760121606
