location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
CHN,Aluminium,7,1055511.6553906193,650.2547118399999,1623.2279999999998,0.0,0.0,,1623.2279999999998,1055511.6553906193,,DemandMet
CHN,Aluminium,8,1190346.4692141362,733.3205620000001,1623.228,0.0,0.0,,1623.228,1190346.4692141362,,DemandMet
CHN,Aluminium,9,1342825.0955504423,827.2559958,1623.2279999999998,0.0,0.0,,1623.2279999999998,1342825.0955504423,,DemandMet
CHN,Aluminium,10,1515585.3276224416,933.68604264,1623.2279999999996,0.0,0.0,,1623.2279999999996,1515585.3276224416,,DemandMet
CHN,Aluminium,11,1711685.7425285024,1054.49495852,1623.2279999999998,0.0,0.0,,1623.2279999999998,1711685.7425285024,,DemandMet
CHN,Aluminium,12,1934674.8864662729,1191.86884804,1623.2279999999996,0.0,0.0,,1623.2279999999996,1934674.8864662729,,DemandMet
CHN,Aluminium,13,2188672.257512674,1348.34555436,1623.228,0.0,0.0,,1623.228,2188672.257512674,,DemandMet
CHN,Bauxite,0,38138.5872,1243.92,30.66,0.0,0.0,,30.66,38138.5872,,DemandMet
CHN,Bauxite,1,42702.598797801606,1392.77882576,30.660000000000004,0.0,0.0,,30.660000000000004,42702.598797801606,,DemandMet
CHN,Bauxite,2,47788.155818390405,1558.6482654400002,30.66,0.0,0.0,,30.66,47788.155818390405,,DemandMet
CHN,Bauxite,3,53467.469400172806,1743.88354208,30.66,0.0,0.0,,30.66,53467.469400172806,,DemandMet
CHN,Bauxite,4,59823.805014556805,1951.20042448,30.660000000000004,0.0,0.0,,30.660000000000004,59823.805014556805,,DemandMet
CHN,Bauxite,5,66953.2706013024,2183.73354864,30.659999999999997,0.0,0.0,,30.659999999999997,66953.2706013024,,DemandMet
CHN,Bauxite,6,74966.8910829888,2445.1040796800003,30.66,0.0,0.0,,30.66,74966.8910829888,,DemandMet
CHN,Bauxite,7,83993.03466005759,2739.49884736,30.659999999999993,0.0,0.0,,30.659999999999993,83993.03466005759,,DemandMet
CHN,Bauxite,8,94180.23052368002,3071.7622480000005,30.66,0.0,0.0,,30.66,94180.23052368002,,DemandMet
CHN,Bauxite,9,105700.472124912,3447.5039832,30.66,0.0,0.0,,30.66,105700.472124912,,DemandMet
CHN,Bauxite,10,110376.0,3600.0,30.66,3065.1016777427603,134.7441705599995,53.40756425457322,28.55709060785858,106653.42767585354,26.71729682284827,DemandMet
CHN,Bauxite,11,110376.0,3600.0,30.66,14079.74343889916,617.9798340799998,53.44349982060498,23.48127219350755,99043.53259075829,5.825432807786356,DemandMet
CHN,Bauxite,12,110376.0,3600.0,30.66,26604.6814319068,1167.4753921599995,53.44821601771346,20.68754209069974,98627.34784168524,3.083576771018253,DemandMet
CHN,Bauxite,13,110376.0,3600.0,30.66,40871.301172063,1793.3822174400002,53.45006715612781,19.569911102393018,105548.01053652813,2.007380225470783,DemandMet
CHN,Compressor,0,1510565.75388,53.4,28287.7482,0.0,0.0,,28287.7482,1510565.75388,,DemandMet
CHN,Compressor,1,1627959.9089099998,57.55,31172.196505821023,0.0,0.0,,31172.196505821023,1793959.9089099998,,DemandMet
CHN,Compressor,2,1754971.8983279995,62.04,31182.654711927782,0.0,0.0,,31182.654711927782,1934571.8983279995,,DemandMet
CHN,Compressor,3,1891884.599616,66.88,31182.48504210526,0.0,0.0,,31182.48504210526,2085484.5996159997,,DemandMet
CHN,Compressor,4,2039546.64522,72.1,31183.72600859917,0.0,0.0,,31183.72600859917,2248346.64522,,DemandMet
CHN,Compressor,5,2198523.790104,77.72,31180.182579825014,0.0,0.0,,31180.182579825014,2423323.790104,,DemandMet
CHN,Compressor,6,2369947.544196,83.78,31181.04015512055,0.0,0.0,,31181.04015512055,2612347.544196,,DemandMet
CHN,Compressor,7,2554949.417424,90.32,31184.1166676705,0.0,0.0,,31184.1166676705,2816549.4174239994,,DemandMet
CHN,Compressor,8,2754095.164752,97.36,31180.106458011505,0.0,0.0,,31180.106458011505,3035695.164752,,DemandMet
CHN,Compressor,9,2969082.051072,104.96,31184.089663414634,0.0,0.0,,31184.089663414634,3273082.0510719996,,DemandMet
CHN,Compressor,10,3200475.831348,113.14,31179.740422025814,0.0,0.0,,31179.740422025814,3527675.8313480006,,DemandMet
CHN,Compressor,11,3450256.647954,121.97,31183.542247716654,0.0,0.0,,31183.542247716654,3803456.647954,,DemandMet
CHN,Compressor,12,3719273.133335999,131.48,31180.963898205042,0.0,0.0,,31180.963898205042,4099673.1333359987,,DemandMet
CHN,Compressor,13,4009505.429868,141.74,31183.19055924933,0.0,0.0,,31183.19055924933,4419905.429868001,,DemandMet
CHN,Copper,0,0.0,0.0,,15.0154,0.0,,,0.0,,DemandMet
CHN,Copper,0,12599.734883999996,75.22624999999996,167.49120000000002,15.0154,0.0,,167.49120000000002,12599.734883999996,,DemandMet
CHN,Copper,1,0.0,0.0,,15.0154,0.0,,,0.0,,DemandMet
CHN,Copper,1,21106.653877526827,126.0164944637499,167.49120000000002,15.0154,0.0,,167.49120000000002,21106.653877526827,,DemandMet
CHN,Copper,2,0.0,0.0,,15.0154,0.0,,,0.0,,DemandMet
CHN,Copper,2,30585.687986894445,182.61071618625004,167.49120000000002,15.0154,0.0,,167.49120000000002,30585.687986894445,,DemandMet
CHN,Copper,3,0.0,0.0,,15.0154,0.0,,,0.0,,DemandMet
CHN,Copper,3,41171.43246710813,245.8125111474999,167.49119999999996,15.0154,0.0,,167.49119999999996,41171.43246710813,,DemandMet
CHN,Copper,4,0.0,0.0,,15.0154,0.0,,,0.0,,DemandMet
CHN,Copper,4,53019.08688439322,316.54849260375,167.49120000000002,15.0154,0.0,,167.49120000000002,53019.08688439322,,DemandMet
CHN,Copper,5,0.0,0.0,,15.0154,0.0,,,0.0,,DemandMet
CHN,Copper,5,63646.65600000001,380.0,167.49120000000002,15.0154,0.0,,167.49120000000002,63646.65600000001,,DemandMet
CHN,Copper,6,0.0,0.0,,15.0154,0.0,,,0.0,,DemandMet
