location,commodity,time_operation,total_production,total_production_cost,production_cost_per_unit,opex_cost,total_import_flow,total_import_production_cost,total_transport_cost,total_transport_opex,total_import_cost,total_output,domestic_ratio,import_ratio,weighted_cost,weighted_cost_per_unit,transport_to_production_ratio
ITA,Copper_ore,7,1.0,3923.57772,3923.57772,3923.57772,17.040025,49031.039989431,38.348633159604,38.348633159604,49069.38862259061,18.040025,0.055432295686951655,0.9445677043130484,46566.852683611,2581.3075471686434,0.009773894107953084
ITA,Copper_ore,8,1.0,3923.57772,3923.57772,3923.57772,23.49833949999992,68772.77209482473,44.92919166979024,44.92919166979024,68817.70128649451,24.49833949999992,0.04081909306547096,0.9591809069345291,66168.7820172316,2700.949671190238,0.011451077275918022
ITA,Copper_ore,9,1.0,3923.57772,3923.57772,3923.57772,28.083025,82787.20773875099,49.600656830484,49.600656830484,82836.80839558148,29.083025,0.03438431868761933,0.9656156813123806,80123.43072336268,2754.9895763374916,0.012641690918380482
ITA,Copper_ore,10,1.0,3923.57772,3923.57772,3923.57772,29.310025,86537.893044231,50.850881682804,50.850881682804,86588.7439259138,30.310025,0.03299238453284021,0.9670076154671597,83861.42297497715,2766.7883142616065,0.01296033500842797
ITA,Copper_ore,11,1.0,3923.57772,3923.57772,3923.57772,34.48914769625002,102369.40029125864,56.12803564210828,56.12803564210828,102425.52832690075,35.48914769625002,0.02817762794866064,0.9718223720513394,99649.97701048215,2807.8999772939524,0.01430532020711655
ITA,Copper_ore,12,1.0,3923.57772,3923.57772,3923.57772,50.40952380952381,151034.69837257144,72.34975847333737,72.34975847333737,151107.04813104478,51.40952380952381,0.019451648758799553,0.9805483512412004,148244.08696150797,2883.5919101441896,0.01843974138820866
ITA,Copper_ore,13,1.0,3923.57772,3923.57772,3923.57772,52.703925,157984.8194160446,97.01738003845094,97.01738003845094,158081.83679608305,53.703925,0.018620612925405358,0.9813793870745946,155211.31552457294,2890.1298280260326,0.02472676392872649
ITA,HEX,0,2.6,117728.0,45280.0,117728.0,0.3300000000000005,31164.991139240556,458340.7153996,458340.7153996,489505.70653884055,2.9300000000000006,0.887372013651877,0.11262798634812302,159600.57445659302,54471.18582136279,3.8932175472241095
ITA,HEX,1,2.6,114660.0,44100.0,114660.0,1.4,101531.2851413928,482142.428968,482142.428968,583673.7141093928,4.0,0.65,0.35,278814.79993828747,69703.69998457187,4.204974960474446
ITA,HEX,2,2.6,108680.0,41800.0,108680.0,1.4,80006.86366089954,482142.428968,482142.428968,562149.2926288996,4.0,0.65,0.35,267394.2524201148,66848.5631050287,4.436349180787634
ITA,HEX,3,2.6,106080.0,40800.0,106080.0,1.4,64663.61312554097,482142.428968,482142.428968,546806.042093541,4.0,0.65,0.35,260334.11473273934,65083.528683184835,4.54508322933635
ITA,HEX,4,2.6,103220.0,39700.0,103220.0,1.4,52557.53736046716,482142.428968,482142.428968,534699.9663284671,4.0,0.65,0.35,254237.9882149635,63559.49705374087,4.671017525363301
ITA,HEX,5,2.6,100620.0,38700.0,100620.0,1.4,43203.66378596286,482142.428968,482142.428968,525346.0927539628,4.0,0.65,0.35,249274.13246388698,62318.533115971746,4.7917156526336715
ITA,HEX,6,2.6,98020.0,37700.0,98020.0,1.4,37380.0,482142.428968,482142.428968,519522.428968,4.0,0.65,0.35,245545.8501388,61386.4625347,4.918816863578861
ITA,HEX,7,4.0,250400.0,62600.0,146800.0,0.0,0.0,451000.0,451000.0,451000.0,4.0,1.0,0.0,250400.0,62600.0,1.8011182108626198
ITA,HEX,8,5.579049999999981,316021.7849999979,56644.372249755594,199172.0849999993,0.0,0.0,451000.0,451000.0,451000.0,5.579049999999981,1.0,0.0,316021.7849999979,56644.372249755594,1.4271168046215643
ITA,HEX,9,7.0,348750.30000000144,49821.47142857163,243600.0,0.0,0.0,451000.0,451000.0,451000.0,7.0,1.0,0.0,348750.30000000144,49821.47142857163,1.293188851737183
ITA,HEX,10,7.0,237300.0,33900.0,237300.0,0.0,0.0,451000.0,451000.0,451000.0,7.0,1.0,0.0,237300.0,33900.0,1.9005478297513696
ITA,HEX,11,7.0,231000.0,33000.0,231000.0,0.0,0.0,451000.0,451000.0,451000.0,7.0,1.0,0.0,231000.0,33000.0,1.9523809523809523
ITA,HEX,12,15.525367000000005,1130793.9754000003,72835.24926657128,499916.8174000001,0.0,0.0,451000.0,451000.0,451000.0,15.525367000000005,1.0,0.0,1130793.9754000003,72835.24926657128,0.3988348097101118
ITA,HEX,13,25.0,1483622.8419999997,59344.91367999999,782500.0,0.0,0.0,451000.0,451000.0,451000.0,25.0,1.0,0.0,1483622.8419999997,59344.91367999999,0.30398561361594356
ITA,HP,0,2.9300000000000006,230040.16047440004,78512.00016191126,230040.16047440004,1.0887919999999998,62710.640002967986,12411.854370206398,12411.854370206398,75122.49437317438,4.018792,0.7290748065587869,0.2709251934412131,188069.0618184642,46797.41121671989,0.053955163066353576
