location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
ROE,Aluminium,10,0.0,0.0,,128624.24332800001,99.788,2920.110832885718,2920.110832885718,291392.019792,0.0,Tariffs
ROE,Aluminium,11,0.0,0.0,,162623.0928,129.28,2887.2455866336636,2887.2455866336636,373263.10944000003,0.0,Tariffs
ROE,Aluminium,12,0.0,0.0,,188620.88064,153.51999999999998,2856.086388744138,2856.086388744138,438466.3824,0.0,Tariffs
ROE,Aluminium,13,0.0,0.0,,220206.81264000002,181.80000000000004,2838.243083828382,2838.243083828382,515992.59264,0.0,Tariffs
ROE,Bauxite,0,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,1,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,2,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,3,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,4,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,5,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,6,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,7,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,8,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,9,0.0,0.0,,0.0,0.0,,,0.0,,Tariffs
ROE,Bauxite,10,3195.9984,104.24,30.66,0.0,0.0,,30.66,3195.9984,,Tariffs
ROE,Bauxite,11,3195.9984,104.24,30.66,0.0,0.0,,30.66,3195.9984,,Tariffs
ROE,Bauxite,12,3195.9984,104.24,30.66,0.0,0.0,,30.66,3195.9984,,Tariffs
ROE,Bauxite,13,3195.9984,104.24,30.66,0.0,0.0,,30.66,3195.9984,,Tariffs
ROE,Compressor,0,0.0,0.0,,174342.1789272,14.0,49583.26039542857,49583.26039542857,694165.645536,0.0,Tariffs
