location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
AUS,Bauxite,9,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,
AUS,Bauxite,10,7473.6816,243.76,30.66,0.0,0.0,,30.66,7473.6816,,
AUS,Bauxite,11,7473.6816,243.76,30.66,0.0,0.0,,30.66,7473.6816,,
AUS,Bauxite,12,7473.6816,243.76,30.66,0.0,0.0,,30.66,7473.6816,,
AUS,Bauxite,13,7473.6816,243.76,30.66,0.0,0.0,,30.66,7473.6816,,
AUS,Compressor,0,72922.408884,1.3,56094.16068,16581.984368399997,0.8099999999999998,48759.33384,28478.72475497496,60090.10923299716,1.6049382716049387,
AUS,Compressor,1,77409.9417384,1.38,62528.94328869564,16786.700224800006,0.8200000000000003,48759.33384000001,31377.251172109085,69029.95257863999,1.682926829268292,
AUS,Compressor,2,81897.4745928,1.46,62176.35246082193,17196.1319376,0.8399999999999999,48759.33384,31557.599028920988,72582.47776651826,1.7380952380952384,
AUS,Compressor,3,86945.949054,1.55,62539.321970322584,17400.847793999998,0.85,48759.33384,32201.274259218753,77283.05822212501,1.823529411764706,
AUS,Compressor,4,91994.4235152,1.64,62185.62409463414,17605.563650400003,0.8600000000000001,48759.33384000001,32530.697259678716,81326.74314919679,1.9069767441860461,
AUS,Compressor,5,97042.8979764,1.73,61868.727153988446,17810.279506800005,0.8700000000000001,48759.33384,32851.01379921124,85412.63587794924,1.9885057471264365,
AUS,Compressor,6,103213.2556512,1.84,62730.0302452174,17605.563650400003,0.8600000000000001,48759.33384,34079.72478824033,92015.2569282489,2.13953488372093,
AUS,Compressor,7,109383.613326,1.95,62355.69914153846,17400.847793999998,0.85,48759.33384,34736.75569963011,97262.9159589643,2.2941176470588234,
AUS,Compressor,8,115553.9710008,2.06,62021.34514601942,17196.1319376,0.8399999999999999,48759.33384,35386.250442229735,102620.12628246623,2.452380952380953,
AUS,Compressor,9,122285.2702824,2.18,62204.252423119266,16786.7002248,0.8199999999999998,48759.33384000001,36489.473921072,109468.421763216,2.6585365853658542,
AUS,Compressor,10,129577.5111708,2.31,62340.91392675324,16172.552655600002,0.79,48759.33384000001,37782.31540625307,117125.1777593845,2.9240506329113924,
AUS,Compressor,11,137430.69366600004,2.45,62437.01782285717,17400.847793999994,0.85,48759.33383999999,37649.84556300277,124244.49035790913,2.882352941176471,
