location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
AUS,HP,5,154198.15112,2.6,63668.519661538456,386608.45503373834,10.247854999999998,85144.32065378079,56777.60725668694,729470.4652808615,0.2537116303850904,S3
AUS,HP,6,159588.84923999998,2.7,63306.98119999999,389959.43902098975,10.661769,83042.13568366376,55457.35714094809,741008.3954678487,0.2532412773152373,S3
AUS,HP,7,165219.54736,2.8,63056.981199999995,402249.13228976785,11.096240000000002,82180.17715767426,54959.22456975367,763726.5748351939,0.2523377288162476,S3
AUS,HP,8,170540.24547999998,2.9,62717.326027586205,416309.7776630032,11.552089,81586.00906144614,54653.885081454355,789862.8113929506,0.25103684710185314,S3
AUS,HP,9,175820.9436,3.0,62386.9812,501957.687216698,12.030173,89821.96947850793,60029.24642031388,902249.9587569484,0.24937297244187595,S3
AUS,HP,10,181371.64172,3.1,62165.04571612903,586508.9141547085,12.53138,97808.12843040397,65305.51807812378,1020815.3691760225,0.24737897980908727,S3
AUS,HP,11,408148.8684,7.0,121486.98120000001,411039.0061116278,9.256635,94094.06234340483,53032.52489675342,862130.400374933,0.7562143262643499,S3
AUS,HP,12,464855.8496000001,8.0,72281.98120000004,338909.4546798248,8.9069,84260.03449853651,39569.36629313405,668995.3189813881,0.8981800626480594,S3
AUS,HP,13,522062.83080000005,9.0,70606.98120001821,323889.6108097965,8.583176000000002,83423.11642650433,38377.255722058224,674794.041757957,1.048562909580323,S3
AUS,Iron,0,1889.5463205522624,53.724720000000005,35.170891919999995,1720.0065999991807,0.0,,35.170891919999995,1889.5463205522624,,S3
AUS,Iron,1,1889.5463205522624,53.724720000000005,35.170891919999995,1720.0065999991807,0.0,,35.170891919999995,1889.5463205522624,,S3
AUS,Iron,2,1889.5463205522624,53.724720000000005,35.170891919999995,1720.0065999991807,0.0,,35.170891919999995,1889.5463205522624,,S3
AUS,Iron,3,2076.7286210218563,59.04680000000001,35.170891919999995,1720.0065999991807,0.0,,35.170891919999995,2076.7286210218563,,S3
AUS,Iron,4,2141.27424187344,60.882000000000005,35.17089192,1720.0065999991807,0.0,,35.17089192,2141.27424187344,,S3
