,technology,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
100,HP_assembly,2,inf,inf,0.3,inf,inf,inf
101,HP_assembly,3,inf,inf,0.3,inf,inf,inf
102,HP_assembly,4,inf,inf,0.3,inf,inf,inf
103,HP_assembly,5,inf,inf,0.3,inf,inf,inf
104,HP_assembly,6,inf,inf,0.3,inf,inf,inf
105,HP_assembly,7,inf,inf,0.3,inf,inf,inf
106,HP_assembly,8,inf,inf,0.3,inf,inf,inf
107,HP_assembly,9,inf,inf,0.3,inf,inf,inf
108,HP_assembly,10,inf,inf,0.3,inf,inf,inf
109,HP_assembly,11,inf,inf,0.3,inf,inf,inf
110,HP_assembly,12,inf,inf,0.3,inf,inf,inf
111,HP_assembly,13,inf,inf,0.3,inf,inf,inf
112,Iron_mining,0,inf,inf,inf,inf,inf,inf
113,Iron_mining,1,inf,inf,inf,inf,inf,inf
114,Iron_mining,2,inf,inf,inf,inf,inf,inf
115,Iron_mining,3,inf,inf,inf,inf,inf,inf
116,Iron_mining,4,inf,inf,inf,inf,inf,inf
117,Iron_mining,5,inf,inf,inf,inf,inf,inf
118,Iron_mining,6,inf,inf,inf,inf,inf,inf
119,Iron_mining,7,inf,inf,inf,inf,inf,inf
120,Iron_mining,8,inf,inf,inf,inf,inf,inf
121,Iron_mining,9,inf,inf,inf,inf,inf,inf
122,Iron_mining,10,inf,inf,inf,inf,inf,inf
123,Iron_mining,11,inf,inf,inf,inf,inf,inf
124,Iron_mining,12,inf,inf,inf,inf,inf,inf
125,Iron_mining,13,inf,inf,inf,inf,inf,inf
126,Nickel_mining,0,inf,inf,inf,inf,inf,inf
127,Nickel_mining,1,inf,inf,inf,inf,inf,inf
128,Nickel_mining,2,inf,inf,inf,inf,inf,inf
129,Nickel_mining,3,inf,inf,inf,inf,inf,inf
130,Nickel_mining,4,inf,inf,inf,inf,inf,inf
131,Nickel_mining,5,inf,inf,inf,inf,inf,inf
132,Nickel_mining,6,inf,inf,inf,inf,inf,inf
133,Nickel_mining,7,inf,inf,inf,inf,inf,inf
134,Nickel_mining,8,inf,inf,inf,inf,inf,inf
135,Nickel_mining,9,inf,inf,inf,inf,inf,inf
136,Nickel_mining,10,inf,inf,inf,inf,inf,inf
137,Nickel_mining,11,inf,inf,inf,inf,inf,inf
138,Nickel_mining,12,inf,inf,inf,inf,inf,inf
139,Nickel_mining,13,inf,inf,inf,inf,inf,inf
140,Nickel_recycling,0,inf,inf,inf,inf,inf,inf
141,Nickel_recycling,1,inf,inf,inf,inf,inf,inf
142,Nickel_recycling,2,inf,inf,inf,inf,inf,inf
143,Nickel_recycling,3,inf,inf,inf,inf,inf,inf
144,Nickel_recycling,4,inf,inf,inf,inf,inf,inf
145,Nickel_recycling,5,inf,inf,inf,inf,inf,inf
146,Nickel_recycling,6,inf,inf,inf,inf,inf,inf
147,Nickel_recycling,7,inf,inf,inf,inf,inf,inf
148,Nickel_recycling,8,inf,inf,inf,inf,inf,inf
149,Nickel_recycling,9,inf,inf,inf,inf,inf,inf
150,Nickel_recycling,10,inf,inf,inf,inf,inf,inf
151,Nickel_recycling,11,inf,inf,inf,inf,inf,inf
152,Nickel_recycling,12,inf,inf,inf,inf,inf,inf
153,Nickel_recycling,13,inf,inf,inf,inf,inf,inf
154,Steel_production,0,inf,inf,inf,inf,inf,inf
155,Steel_production,1,inf,inf,inf,inf,inf,inf
156,Steel_production,2,inf,inf,inf,inf,inf,inf
157,Steel_production,3,inf,inf,inf,inf,inf,inf
158,Steel_production,4,inf,inf,inf,inf,inf,inf
159,Steel_production,5,inf,inf,inf,inf,inf,inf
160,Steel_production,6,inf,inf,inf,inf,inf,inf
161,Steel_production,7,inf,inf,inf,inf,inf,inf
162,Steel_production,8,inf,inf,inf,inf,inf,inf
163,Steel_production,9,inf,inf,inf,inf,inf,inf
164,Steel_production,10,inf,inf,inf,inf,inf,inf
165,Steel_production,11,inf,inf,inf,inf,inf,inf
166,Steel_production,12,inf,inf,inf,inf,inf,inf
167,Steel_production,13,inf,inf,inf,inf,inf,inf
168,Aluminium_transport,0,inf,inf,inf,inf,inf,inf
169,Aluminium_transport,1,inf,inf,inf,inf,inf,inf
170,Aluminium_transport,2,inf,inf,inf,inf,inf,inf
171,Aluminium_transport,3,inf,inf,inf,inf,inf,inf
172,Aluminium_transport,4,inf,inf,inf,inf,inf,inf
173,Aluminium_transport,5,inf,inf,inf,inf,inf,inf
174,Aluminium_transport,6,inf,inf,inf,inf,inf,inf
175,Aluminium_transport,7,inf,inf,inf,inf,inf,inf
176,Aluminium_transport,8,inf,inf,inf,inf,inf,inf
177,Aluminium_transport,9,inf,inf,inf,inf,inf,inf
178,Aluminium_transport,10,inf,inf,inf,inf,inf,inf
179,Aluminium_transport,11,inf,inf,inf,inf,inf,inf
180,Aluminium_transport,12,inf,inf,inf,inf,inf,inf
181,Aluminium_transport,13,inf,inf,inf,inf,inf,inf
182,Bauxite_transport,0,inf,inf,inf,inf,inf,inf
183,Bauxite_transport,1,inf,inf,inf,inf,inf,inf
184,Bauxite_transport,2,inf,inf,inf,inf,inf,inf
185,Bauxite_transport,3,inf,inf,inf,inf,inf,inf
186,Bauxite_transport,4,inf,inf,inf,inf,inf,inf
187,Bauxite_transport,5,inf,inf,inf,inf,inf,inf
188,Bauxite_transport,6,inf,inf,inf,inf,inf,inf
189,Bauxite_transport,7,inf,inf,inf,inf,inf,inf
190,Bauxite_transport,8,inf,inf,inf,inf,inf,inf
191,Bauxite_transport,9,inf,inf,inf,inf,inf,inf
192,Bauxite_transport,10,inf,inf,inf,inf,inf,inf
193,Bauxite_transport,11,inf,inf,inf,inf,inf,inf
194,Bauxite_transport,12,inf,inf,inf,inf,inf,inf
195,Bauxite_transport,13,inf,inf,inf,inf,inf,inf
196,Compressor_transport,0,inf,inf,inf,inf,inf,inf
197,Compressor_transport,1,inf,inf,inf,inf,inf,inf
198,Compressor_transport,2,inf,inf,inf,inf,inf,inf
199,Compressor_transport,3,inf,inf,inf,inf,inf,inf
200,Compressor_transport,4,inf,inf,inf,inf,inf,inf
201,Compressor_transport,5,inf,inf,inf,inf,inf,inf
202,Compressor_transport,6,inf,inf,inf,inf,inf,inf
203,Compressor_transport,7,inf,inf,inf,inf,inf,inf
204,Compressor_transport,8,inf,inf,inf,inf,inf,inf
205,Compressor_transport,9,inf,inf,inf,inf,inf,inf
206,Compressor_transport,10,inf,inf,inf,inf,inf,inf
207,Compressor_transport,11,inf,inf,inf,inf,inf,inf
208,Compressor_transport,12,inf,inf,inf,inf,inf,inf
209,Compressor_transport,13,inf,inf,inf,inf,inf,inf
210,Copper_ore_transport,0,inf,inf,inf,inf,inf,inf
211,Copper_ore_transport,1,inf,inf,inf,inf,inf,inf
212,Copper_ore_transport,2,inf,inf,inf,inf,inf,inf
213,Copper_ore_transport,3,inf,inf,inf,inf,inf,inf
214,Copper_ore_transport,4,inf,inf,inf,inf,inf,inf
215,Copper_ore_transport,5,inf,inf,inf,inf,inf,inf
216,Copper_ore_transport,6,inf,inf,inf,inf,inf,inf
217,Copper_ore_transport,7,inf,inf,inf,inf,inf,inf
218,Copper_ore_transport,8,inf,inf,inf,inf,inf,inf
219,Copper_ore_transport,9,inf,inf,inf,inf,inf,inf
220,Copper_ore_transport,10,inf,inf,inf,inf,inf,inf
221,Copper_ore_transport,11,inf,inf,inf,inf,inf,inf
222,Copper_ore_transport,12,inf,inf,inf,inf,inf,inf
223,Copper_ore_transport,13,inf,inf,inf,inf,inf,inf
224,Copper_transport,0,inf,inf,inf,inf,inf,inf
225,Copper_transport,1,inf,inf,inf,inf,inf,inf
226,Copper_transport,2,inf,inf,inf,inf,inf,inf
227,Copper_transport,3,inf,inf,inf,inf,inf,inf
228,Copper_transport,4,inf,inf,inf,inf,inf,inf
229,Copper_transport,5,inf,inf,inf,inf,inf,inf
230,Copper_transport,6,inf,inf,inf,inf,inf,inf
231,Copper_transport,7,inf,inf,inf,inf,inf,inf
232,Copper_transport,8,inf,inf,inf,inf,inf,inf
233,Copper_transport,9,inf,inf,inf,inf,inf,inf
234,Copper_transport,10,inf,inf,inf,inf,inf,inf
235,Copper_transport,11,inf,inf,inf,inf,inf,inf
236,Copper_transport,12,inf,inf,inf,inf,inf,inf
237,Copper_transport,13,inf,inf,inf,inf,inf,inf
238,HEX_transport,0,inf,inf,inf,inf,inf,inf
239,HEX_transport,1,inf,inf,inf,inf,inf,inf
240,HEX_transport,2,inf,inf,inf,inf,inf,inf
241,HEX_transport,3,inf,inf,inf,inf,inf,inf
242,HEX_transport,4,inf,inf,inf,inf,inf,inf
243,HEX_transport,5,inf,inf,inf,inf,inf,inf
244,HEX_transport,6,inf,inf,inf,inf,inf,inf
245,HEX_transport,7,inf,inf,inf,inf,inf,inf
246,HEX_transport,8,inf,inf,inf,inf,inf,inf
247,HEX_transport,9,inf,inf,inf,inf,inf,inf
248,HEX_transport,10,inf,inf,inf,inf,inf,inf
249,HEX_transport,11,inf,inf,inf,inf,inf,inf
250,HEX_transport,12,inf,inf,inf,inf,inf,inf
251,HEX_transport,13,inf,inf,inf,inf,inf,inf
252,HP_transport,0,inf,inf,inf,inf,inf,inf
253,HP_transport,1,inf,inf,inf,inf,inf,inf
254,HP_transport,2,inf,inf,inf,inf,inf,inf
255,HP_transport,3,inf,inf,inf,inf,inf,inf
256,HP_transport,4,inf,inf,inf,inf,inf,inf
257,HP_transport,5,inf,inf,inf,inf,inf,inf
258,HP_transport,6,inf,inf,inf,inf,inf,inf
259,HP_transport,7,inf,inf,inf,inf,inf,inf
260,HP_transport,8,inf,inf,inf,inf,inf,inf
