location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Compressor,20471.58564,20471.58564,20471.58564,20471.585639999998,32976.003840000005,32976.003840000005,32976.00384000001,32976.00384,32976.00384,32976.003840000005,20471.58564,20471.585639999994,20471.58564,20471.58564,25830.622011428575
AUS,Copper_ore,5.546843835329639,5.546843835329639,5.546843835329639,5.347302900388922,3.313864080313021,3.252220539849217,4.849169915978711,4.799264412728076,4.7523360881389305,4.708126247320369,4.6664053232880525,4.458182347621125,4.415576730252643,4.374920257742351,4.684135739257882
AUS,HP,39231.040229983424,36037.62762827645,36037.62579648271,36037.62514516789,38415.988530016126,37725.79286433487,36575.4912736329,36250.94016439513,36037.61862144614,41724.89350042581,46828.691261156026,47167.8944494315,47450.01344998645,47371.19707496369,40206.60285640707
AUS,Nickel,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.80432124,6.917442039999998,7.256804439999999,7.48304604,7.773928097142857,8.161770839999997,8.463426306666666,7.17792769170068
AUS,Refrigerant,15112.78647278788,15112.78647278788,15112.78647278788,15112.57060732601,15112.507783032968,15112.449791377852,15112.396095400898,15112.346234850866,15112.299812959456,15112.25648586081,15112.215954058847,15112.142259873459,15112.108663994828,15112.076987880691,15112.409292498594
AUT,Compressor,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.9967600000004,3383.99676,3383.99676,3383.99676,3383.99676,3383.996760000001
AUT,Copper_ore,15.329944289693593,2.7742659105229994,3.7091491154170173,2.7742659105229994,3.7091491154170173,3.7091491154170173,3.7091491154170173,3.174304253785148,2.7742659105229994,2.969084306146626,2.269516663900695,1.956434411660149,1.8238442419221208,1.7640676336244892,3.746184999569278
AUT,Nickel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2363674199999997,1.2363674199999997,3.0026065914285716,3.2969797866666655,3.42992252,0.8715888384353739
AUT,Refrigerant,4240.5036439560445,4233.592971721612,4233.592971721612,4233.592971721612,4233.592971721612,4233.592971721612,4233.592971721612,4233.592971721612,4233.592971721612,4233.410857187813,4232.812300229421,4232.426234850864,4232.336485860806,4232.2959540588445,4233.752089279764
AUT,Bauxite,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170658,7.391895955170656
