location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,1,401841.9885355542,393.41267,825204.1706770356,27.8432375,1227046.1592125897,421.2559075,2912.8283719382375,2.0535538699784808,0.07077361667075949
AUS,2,398820.9885355542,393.41267,841035.3392865204,28.2825335,1239856.3278220745,421.6952035,2940.171758017339,2.1088041087675693,0.07189024568019124
AUS,3,416089.70965045254,402.35105,855482.2411448264,30.090439,1271571.950795279,432.441489,2940.448553481137,2.056004321432264,0.0747865303197295
AUS,4,420593.40658662433,405.43325,910326.6914953693,31.031456000000002,1330920.0980819936,436.464706,3049.318947869278,2.1643865006901404,0.07653900117960233
AUS,5,424927.1035227961,408.51545,922552.9141224681,31.99148,1347480.0176452643,440.50693,3058.93035018828,2.1710851260702784,0.07831155467926611
AUS,6,429220.800458968,411.59765000000004,930082.8576425575,32.971269,1359303.6581015254,444.56891900000005,3057.576902045024,2.166910030101093,0.08010558126364423
AUS,7,436584.4973951398,414.77985,946531.7253627084,34.211615,1383116.2227578482,448.991465,3080.495578591562,2.1680378735620343,0.08248138138822318
AUS,8,526488.1943313116,421.06205,964777.6717320894,42.913339,1491265.866063401,463.975389,3214.1055353765782,1.8324773131094527,0.10191690037133481
AUS,9,529481.8912674835,424.14425,1054586.3826278883,43.957297999999994,1584068.2738953717,468.101548,3384.0269929963397,1.9917326730540303,0.10363761385424887
AUS,10,559330.8698036553,431.98645,1121117.8342750077,47.42438,1680448.7040786631,479.41083,3505.237259822986,2.004391130188397,0.10978210080431922
AUS,11,631545.7087988282,460.866225,1127708.1353569091,49.468697500000005,1759253.8441557372,510.3349225,3447.253492936763,1.7856318547421686,0.10733851780958782
AUS,12,666931.6599238662,467.713775,1157529.119069484,53.0441625,1824460.7789933502,520.7579375,3503.471858253433,1.7356037936504953,0.11341158917117632
AUS,13,701801.4149195375,474.75885,1183614.3573574447,56.649876,1885415.7722769822,531.408726,3547.9578712769994,1.6865374338026202,0.1193234754865549
AUT,0,116397.40705596941,31.8088,479463.6081659997,85.5835,595861.0152219691,117.3923,5075.8100422427115,4.119194922748157,2.690560473831141
AUT,1,157841.70637829383,65.71300000000001,489039.57829499966,91.86812499999999,646881.2846732935,157.581125,4105.068323844582,3.0982912534088753,1.3980205590978951
AUT,2,156471.70637829383,65.71300000000001,489039.57829499966,89.86812499999999,645511.2846732935,155.581125,4149.033404105373,3.1254185795908245,1.3675851810144108
AUT,3,155581.70637829383,65.71300000000001,489039.57829499966,94.908125,644621.2846732935,160.621125,4013.3032605349604,3.1432974330922274,1.4442823337847912
AUT,4,154691.70637829383,65.71300000000001,489039.57829499966,92.908125,643731.2846732935,158.621125,4058.2947868595274,3.1613820142307327,1.413846955701307
AUT,5,153951.70637829383,65.71300000000001,489039.57829499966,89.86812499999999,642991.2846732935,155.581125,4132.836066542734,3.1765778359956585,1.3675851810144108
AUT,6,153101.70637829383,65.71300000000001,489039.57829499966,92.908125,642141.2846732935,158.621125,4048.2709013272565,3.1942137671976583,1.413846955701307
AUT,7,164751.1255782938,66.04144200000002,488082.1685906447,93.579683,652833.2941689385,159.621125,4089.8928269609582,2.962542239862853,1.416984247557768
AUT,8,191811.70637829383,66.81300000000002,485833.07402699965,93.80812499999999,677644.7804052935,160.621125,4218.901968251645,2.5328645639011866,1.40404000718423
AUT,9,215830.77609463903,70.925276756,486514.66736333264,94.2713191825,702345.4434579717,165.1965959385,4251.573341858953,2.2541487185775684,1.3291639242637852
AUT,10,251591.14739748745,88.1481788479999,490263.2689976094,97.60933345999997,741854.4163950968,185.7575123079999,3993.671142435664,1.9486507139420337,1.1073323888893338
AUT,11,318377.3328501512,108.1816,493370.7133481469,101.88449999999999,811748.046198298,210.0661,3864.2505677893673,1.5496414550980575,0.9417913952095365
AUT,12,335356.65999966767,114.54600000000002,494530.5784192317,103.49625,829887.2384188994,218.04225000000002,3806.084547462243,1.4746406957289047,0.9035343879314859
