location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2.071565287879056,2.0535538699784808,2.1088041087675693,2.056004321432264,2.1643865006901404,2.1710851260702784,2.166910030101093,2.1680378735620343,1.8324773131094527,1.9917326730540303,2.004391130188397,1.7856318547421686,1.7356037936504953,1.6865374338026202
AUT,4.119194922748157,3.0982912534088753,3.1254185795908245,3.1432974330922274,3.1613820142307327,3.1765778359956585,3.1942137671976583,2.962542239862853,2.5328645639011866,2.2541487185775684,1.9486507139420337,1.5496414550980575,1.4746406957289047,1.449105389653432
BRA,0.5001555457074938,0.5010878936259061,0.5030107782831826,0.5039882209772935,0.4775223788370972,0.47528208040838615,0.4559994952816332,0.4512840795313547,0.45026272216755353,0.45167246459982086,0.4530905176110412,0.552587815212242,0.5248764834384164,0.5260958866035862
CHN,0.0724438020143559,0.06876990984124612,0.06528796459314809,0.0681078660710091,0.06507355094078009,0.07055014119550052,0.0762143576419725,0.08455853755256573,0.09181304075583017,0.09253446050951568,0.09321020055628003,0.09416667261801671,0.09578618756050963,0.09660606353334641
CZE,2.3794604972299855,2.7282621039686075,2.909489331943715,2.954860147817776,2.908327296326744,3.093487764811516,3.2945404684534902,3.2114632724299055,3.6619618195957493,3.943348067458639,3.7785188280361783,1.3678157629765302,1.0999731330421212,1.0496158247018283
DEU,0.5297310056132268,0.537069677956573,0.5476283136940234,0.5566543594262141,0.5659829270986406,0.5749746333356858,0.5698256619857972,0.5598054515410578,0.44222457870668946,0.43600143519283485,0.47071606207490263,0.5115978908806378,0.5201731591321009,0.5723838218042113
ITA,1.0791263468188999,1.073521512581255,1.113090002861091,1.2316672457623146,1.3269356113134765,1.417526340164763,1.6154438910314213,1.596947041943084,1.2902449144359052,1.1984455926348354,1.3167756253001976,0.9716562383273183,0.8513714999045998,0.8023040515033046
JPN,0.14074810995069775,0.14167302363182416,0.14309660787941136,0.15304624278545684,0.1545983897141107,0.15617498404512645,0.15729642090804935,0.14550558206885186,0.13780802089054503,0.1529422599577442,0.15842220161863588,0.158910962314316,0.16015857809270584,0.16164253051864666
KOR,0.2036081555287093,0.21104933858200559,0.21808778357824402,0.23432993718519304,0.23380798504024236,0.24068858405207208,0.2396750598120887,0.24217599316560687,0.243783283259097,0.24950867129750418,0.28193234046203813,0.2895332081814761,0.2967439309842582,0.30449477045127404
ROE,0.1441835883656842,0.15967486342510348,0.2015743399487732,0.21965935903868122,0.25551798328400926,0.3039579596975537,0.341878584770207,0.33054583688522976,0.3713150135288836,0.4325356711410354,0.5023452375610977,0.5325381321481272,0.6216637331856218,0.6498657117289753
ROW,0.0763511982210608,0.08170233205383444,0.08929954059638205,0.09744760283371139,0.10690125520051443,0.11615549581810285,0.11770400761445486,0.10998703051705408,0.10230657416134238,0.0984585841473149,0.09657306063351327,0.09527717641319759,0.08822519681439789,0.08606480445254673
TOTAL,0.24811612978361222,0.25856434870121,0.27249540227818475,0.2858149389932773,0.2980582504544776,0.30978138112927806,0.31851479678770467,0.3159601225866133,0.3172877177776351,0.32897280589270583,0.3439771918366522,0.34025896132085803,0.34777113517160585,0.3491910463399559
USA,0.27870375569611044,0.31903623420355315,0.35336770536057877,0.40102565764465725,0.42351668483991983,0.44797274551740096,0.47721632391413044,0.5067406563616609,0.5448644213149052,0.5808092405367836,0.6258085123512135,0.6712805170247796,0.7294096903418194,0.7599018966510902
