location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,168.2864029683765,164.11175527261653,162.09947282899367,160.3043827880816,160.10017795740274,159.51063842517593,158.121274470917,163.40259372120562,196.44831543911465,163.02770091854933,171.78270457556937,155.10022841382354,150.39373581754649,143.91381326922095,162.61451406189954
AUT,317.2488728228444,443.5305495584699,437.63308792380286,437.32166066958104,327.70725901407064,302.28046404611393,299.7249084905584,299.7850367918921,243.83214130258682,202.70823770509008,180.75784766887023,174.5183521115852,193.7592438556653,184.09342407188745,288.92150614521563
BRA,37.67838988155,37.50838988155,37.108389881549996,36.90838988155,727.8957658508411,331.3099944050485,214.59982926926259,174.68960708972244,211.6850137076263,167.86844207710743,167.45283044826843,166.95283044826843,224.2116607355454,166.82703172324096,193.04975466293794
CHN,129.71584076910267,125.82233955640201,122.19699563624928,119.146104605163,123.53688170630065,125.99742923973314,130.37669288477295,126.85958267156272,124.46597281944807,121.91621891950953,119.20864388196227,115.82949328954889,117.42313935941922,115.68617783193761,122.72725094079371
CZE,327.7815134168207,304.3436970790214,297.5939205978676,260.6519816660571,261.17089798964327,286.5288505315386,292.6695038393289,271.23832161519016,257.2884399246531,256.0509674473835,226.83490867401548,204.8132232802492,200.9837345718259,178.68167795289253,259.04511704189196
DEU,292.7475422243858,285.4340074873711,278.1570352556002,272.7919179941463,255.09829751147734,242.68108442283872,258.4428021047829,248.58336803989337,209.15787825890092,199.44215762064692,184.0204506267647,188.91951699553994,191.0619010594908,188.40389128735794,235.35298934922835
ITA,189.10764215478113,213.45926691187725,194.8759695574424,178.63669252810968,169.3604247939844,173.38264516282777,176.23798389321396,178.90488731152536,183.00468552785674,245.96587772229464,184.68975748383016,192.78157211536254,222.6126377983153,240.6342796778591,195.9753087599486
JPN,484.88274403005585,481.8680687051758,477.3041726012797,414.09212091361246,409.5958779919555,400.8800445255623,402.48749234153695,389.32476942908664,375.4318585858338,317.4636973353993,280.48673279749073,247.1879011664539,225.85520124733134,195.13370379997835,364.428170390768
KOR,533.2731309307436,430.97091199000016,347.5672923555705,297.09027622290137,270.7829892910055,275.13719394580716,249.14605932223526,244.31525664206183,235.63554091740642,234.21403446733237,238.5559690550407,235.13540571711297,232.00863620529412,229.2371413634987,289.50498845900086
ROE,252.89730063370968,217.74888191343064,205.9534165585876,198.6447312780179,187.87274678896645,172.41696267966324,166.90233550617634,188.01149004756147,210.2636434438977,209.0183518825533,191.56707338874202,190.6718613089984,206.34642466980173,226.12649018415016,201.74583644887548
ROW,400.5851862016244,331.1022827192449,315.3395413618704,302.7525405779555,291.84755169056734,229.39915627279663,216.9778308036131,210.39355793670515,211.2257703996907,197.66705244990172,191.21136774484756,250.9047583808852,185.75049223601275,182.1491240100187,251.23615805612386
USA,195.98615620552778,195.48061868159814,191.94747345357888,181.38934717818103,197.4431395771237,198.19650636247553,196.5097087108269,199.3356768510158,178.09558841117365,168.99090560660048,164.59365181406676,161.73570552281706,159.523791954151,158.03259058081622,181.94720435071093
